Lap_usaha,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030
Tanaman Pangan,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681
Tanaman Hortikultura,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681
Perkebunan,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681
Peternakan,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681
Jasa Pertanian dan Perburuan ,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681
Kehutanan dan Penebangan Kayu,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681
Perikanan,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681,0.026632681
Pertambangan Minyak Gas dan Panas Bumi,-0.000625235,-0.000625235,-0.000625235,-0.000625235,-0.000625235,-0.000625235,-0.000625235,-0.000625235,-0.000625235,-0.000625235,-0.000625235,-0.000625235,-0.000625235,-0.000625235,-0.000625235
Pertambangan Bijih Logam,-0.000625235,-0.000625235,-0.000625235,-0.000625235,-0.000625235,-0.000625235,-0.000625235,-0.000625235,-0.000625235,-0.000625235,-0.000625235,-0.000625235,-0.000625235,-0.000625235,-0.000625235
Pertambangan dan Penggalian Lainnya,-0.000625235,-0.000625235,-0.000625235,-0.000625235,-0.000625235,-0.000625235,-0.000625235,-0.000625235,-0.000625235,-0.000625235,-0.000625235,-0.000625235,-0.000625235,-0.000625235,-0.000625235
Industri Batubara dan Pengilangan Migas,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703
Industri Makanan dan Minuman,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703
Pengolahan Tembakau,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703
Industri Tekstil dan Pakaian Jadi,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703
Industri Kulit Barang dari Kulit dan Alas Kaki,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703
Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703
Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703
Industri Kimia Farmasi dan Obat Tradisional,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703,0.053790703
