ID,Sektor,Total_Kons,ZA,NPK,SP36,UREA,ORGANIK
1, Padi  ,115267.89,72448.19,11200.94,14827.78,4399.20,12391.78
2, Jagung  ,40071.38,25185.67,3893.86,5154.68,1529.33,4307.84
3, Ketela Pohon  ,3602.92,2264.51,350.11,463.47,137.51,387.33
4, Umbi-Umbian Lainnya  ,718.07,451.32,69.78,92.37,27.41,77.20
5, Kacang Tanah  ,3447.94,2167.10,335.05,443.53,131.59,370.67
6, Kedelai  ,3448.88,2167.69,335.14,443.65,131.63,370.77
7, Kacang-Kacangan Lainnya  ,2402.39,1509.95,233.45,309.04,91.69,258.27
8, Sayur-Sayuran  ,2423.70,1394.36,220.02,282.47,162.31,364.54
9, Buah-Buahan  ,12142.19,6985.43,1102.24,1415.11,813.16,1826.26
10, Padi-Padian dan Bahan Makanan Lainnya  ,0.00,0.00,0.00,0.00,0.00,0.00
11, Karet  ,547.07,295.37,57.00,125.95,24.41,44.35
12, Tebu  ,102.44,55.31,10.67,23.58,4.57,8.30
13, Kelapa  ,6763.56,3651.74,704.68,1557.12,301.75,548.27
14, Kelapa Sawit  ,618.13,333.74,64.40,142.31,27.58,50.11
15, Kopi  ,4367.96,2358.33,455.09,1005.60,194.87,354.08
16, Cengkeh  ,2632.24,1421.18,274.25,606.00,117.43,213.38
17, Kakao  ,16016.42,8647.50,1668.71,3687.33,714.55,1298.33
18, Jambu Mete  ,3895.26,2103.10,405.84,896.77,173.78,315.76
19, Hasil Perkebunan Lainnya  ,6360.28,3434.01,662.66,1464.28,283.76,515.58
20, Hasil Pertanian Lainnya  ,0.00,0.00,0.00,0.00,0.00,0.00
21, Sapi  ,1362.74,878.66,132.19,176.05,40.10,135.73
22, Ternak Lainnya dan Hasil-Hasilnya (termasuk Susu Segar)  ,5450.97,3514.65,528.78,704.19,160.42,542.93
23, Unggas dan Hasil-Hasilnya  ,0.00,0.00,0.00,0.00,0.00,0.00
24, Ulat Sutera  ,0.00,0.00,0.00,0.00,0.00,0.00
25, Hasil Pemeliharaan Hewan Lainnya  ,0.00,0.00,0.00,0.00,0.00,0.00
26, Kayu  ,0.00,0.00,0.00,0.00,0.00,0.00
27, Hasil Hutan Lainnya  ,0.00,0.00,0.00,0.00,0.00,0.00
28, Ikan Laut dan Hasil Lainnya  ,0.00,0.00,0.00,0.00,0.00,0.00
29, Budidaya Udang  ,0.00,0.00,0.00,0.00,0.00,0.00
30, Budidaya Bandeng  ,0.00,0.00,0.00,0.00,0.00,0.00
31, Ikan Darat dan Hasil Perairan Darat Lainnya  ,6262.27,5000.56,1261.71,0.00,0.00,0.00
32, Jasa Pertanian  ,0.00,0.00,0.00,0.00,0.00,0.00
33, Gas Alam  ,0.00,0.00,0.00,0.00,0.00,0.00
34, Bijih Nikel  ,0.00,0.00,0.00,0.00,0.00,0.00
35, Barang Tambang Lainnya  ,0.00,0.00,0.00,0.00,0.00,0.00
36, Garam Kasar  ,0.00,0.00,0.00,0.00,0.00,0.00
37, Barang Galian Segala Jenis  ,0.00,0.00,0.00,0.00,0.00,0.00
38, Daging Jeroan dan Sejenisnya  ,0.00,0.00,0.00,0.00,0.00,0.00
39, Daging Olahan dan Awetan  ,0.00,0.00,0.00,0.00,0.00,0.00
40, Buah-Buahan dan Sayur-Sayuran Olahan dan Awetan  ,0.00,0.00,0.00,0.00,0.00,0.00
41, Ikan Olahan dan Awetan  ,0.00,0.00,0.00,0.00,0.00,0.00
42, Kopra dan Minyak Hewani dan Nabati  ,0.00,0.00,0.00,0.00,0.00,0.00
43, Beras  ,0.00,0.00,0.00,0.00,0.00,0.00
44, Tepung Terigu  ,0.00,0.00,0.00,0.00,0.00,0.00
45, Tepung Lainnya  ,0.00,0.00,0.00,0.00,0.00,0.00
