Lap_usaha,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030
 Padi-padian ,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628
 Kacang-kacangan ,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628
 Jagung ,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628
 Umbi-umbian ,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628,0.025434628
 Sayuran dan buah-buahan ,0.036072678,0.036072678,0.036072678,0.036072678,0.036072678,0.036072678,0.036072678,0.036072678,0.036072678,0.036072678,0.036072678,0.036072678,0.036072678,0.036072678,0.036072678,0.036072678,0.036072678,0.036072678,0.036072678,0.036072678,0.036072678,0.036072678,0.036072678,0.036072678
 Karet ,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126
 Tebu ,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126
 Kelapa ,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126
 Kelapa Sawit ,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126
 Lada ,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126
 Kopi ,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126
 Teh ,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126
 Tanaman lainnya ,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126,0.03537126
 Peternakan ,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488
 Pemotongan Hewan ,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488
 Unggas dan Hasil-hasilnya ,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488,0.071194488
 Kayu dan Hasil-hasilnya ,0.019281295,0.019281295,0.019281295,0.019281295,0.019281295,0.019281295,0.019281295,0.019281295,0.019281295,0.019281295,0.019281295,0.019281295,0.019281295,0.019281295,0.019281295,0.019281295,0.019281295,0.019281295,0.019281295,0.019281295,0.019281295,0.019281295,0.019281295,0.019281295
 Perikanan ,0.056881592,0.056881592,0.056881592,0.056881592,0.056881592,0.056881592,0.056881592,0.056881592,0.056881592,0.056881592,0.056881592,0.056881592,0.056881592,0.056881592,0.056881592,0.056881592,0.056881592,0.056881592,0.056881592,0.056881592,0.056881592,0.056881592,0.056881592,0.056881592
 Penambangan Batu Bara ,0.110786235,0.110786235,0.110786235,0.110786235,0.110786235,0.110786235,0.110786235,0.110786235,0.110786235,0.110786235,0.110786235,0.110786235,0.110786235,0.110786235,0.110786235,0.110786235,0.110786235,0.110786235,0.110786235,0.110786235,0.110786235,0.110786235,0.110786235,0.110786235
 Penambangan Timah ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Penambangan Minyak dan Gas Bumi ,0.017585523,0.017585523,0.017585523,0.017585523,0.017585523,0.017585523,0.017585523,0.017585523,0.017585523,0.017585523,0.017585523,0.017585523,0.017585523,0.017585523,0.017585523,0.017585523,0.017585523,0.017585523,0.017585523,0.017585523,0.017585523,0.017585523,0.017585523,0.017585523
 Penggalian ,0.071961859,0.071961859,0.071961859,0.071961859,0.071961859,0.071961859,0.071961859,0.071961859,0.071961859,0.071961859,0.071961859,0.071961859,0.071961859,0.071961859,0.071961859,0.071961859,0.071961859,0.071961859,0.071961859,0.071961859,0.071961859,0.071961859,0.071961859,0.071961859
 Industri Pengolahan dan Pengawetan Makanan ,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186
 Industri Minyak dan Lemak ,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186
 Indsutri Penggilingan Padi ,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186
 Industri Tepung ,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186
 Industri Gula ,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186
 Industri Makanan Lainnya ,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186
 Industri Minuman ,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186,0.09890186
 Industru Rokok ,-0.044178844,-0.044178844,-0.044178844,-0.044178844,-0.044178844,-0.044178844,-0.044178844,-0.044178844,-0.044178844,-0.044178844,-0.044178844,-0.044178844,-0.044178844,-0.044178844,-0.044178844,-0.044178844,-0.044178844,-0.044178844,-0.044178844,-0.044178844,-0.044178844,-0.044178844,-0.044178844,-0.044178844
 Industri Tekstil Pakaian dan Kulit ,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865
 Industri Bambu Kayu dan Rotan ,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347
 Industri Kertas Barang-barang dari Kertas dan Penjilidan ,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524
 Industri Pupuk dan Pestisida ,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673
