tutupan.lahan.awal,tutupan.lahan.akhir,,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030
tutupan lahan belum dipilih,tutupan lahan belum dipilih,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tutupan lahan belum dipilih,tutupan lahan belum dipilih,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tutupan lahan belum dipilih,tutupan lahan belum dipilih,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tutupan lahan belum dipilih,tutupan lahan belum dipilih,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tutupan lahan belum dipilih,tutupan lahan belum dipilih,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tutupan lahan belum dipilih,tutupan lahan belum dipilih,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tutupan lahan belum dipilih,tutupan lahan belum dipilih,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tutupan lahan belum dipilih,tutupan lahan belum dipilih,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tutupan lahan belum dipilih,tutupan lahan belum dipilih,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tutupan lahan belum dipilih,tutupan lahan belum dipilih,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
