"","Year","TotalEmission","CummulativeEmission","ResultTotalGDP","CummulativeGDP","EmissionIntensity","CummulativeEmissionIntensity","ID"
"1",2010,11631.8268616479,11631.8268616479,18620.3554455042,18620.3554455042,0.624683395313828,8.85575504981084e-05,"combination1.1"
"2",2011,425.014632442966,12056.8414940909,18620.3554454893,37240.7108909786,0.0228252695651911,7.74634929588125e-05,"combination1.1"
"3",2012,-245.859766554087,11810.9817275368,18620.3554454893,55861.0663365126,-0.0132038170417228,6.19702927707744e-05,"combination1.1"
"4",2013,-918.504214286804,10892.47751325,18620.3554454744,74481.4217819571,-0.0493279635276803,4.27199673845302e-05,"combination1.1"
"5",2014,-1592.79079353064,9299.68671971932,18620.3554455042,93101.7772275209,-0.0855403001404689,2.02980507773565e-05,"combination1.1"
"6",2015,-2268.60415304266,7031.08256667666,18620.3554454744,111722.132672906,-0.121834631980349,-4.76321691256221e-06,"combination1.1"
"7",2016,-2945.83748325333,4085.24508342333,18620.3554455042,130342.48811841,-0.158205222874228,-3.1981723206953e-05,"combination1.1"
"8",2017,-3624.39249832928,460.85258509405,18620.3554454744,148962.843563795,-0.194646794414989,-6.09223834978634e-05,"combination1.1"
"9",2018,-4304.17997341603,-3843.32738832198,18620.3554454744,167583.199009418,-0.231154554810722,-9.1194119320126e-05,"combination1.1"
"10",2019,-4985.11693350598,-8828.44432182796,18620.3554454744,186203.554454803,-0.267724047916475,-0.000122446905861384,"combination1.1"
"11",2020,-5667.12695205584,-14495.5712738838,18620.3554454744,204823.909900188,-0.304351169270145,-0.000154368915387337,"combination1.1"
"12",2021,-6350.14126872644,-20845.7125426102,18620.355445534,223444.265345812,-0.34103222611948,-0.000186683764960227,"combination1.1"
"13",2022,-7034.09482100978,-27879.80736362,18620.3554454446,242064.620790958,-0.377763724307994,-0.000219147852354551,"combination1.1"
"14",2023,-7718.9279990606,-35598.7353626806,18620.3554455042,260684.97623682,-0.414542462503008,-0.00025154781102632,"combination1.1"
"15",2024,-8404.58663775772,-44003.3220004383,18620.3554454446,279305.331682682,-0.451365531790312,-0.000283698078221706,"combination1.1"
"16",2025,-9091.01998574287,-53094.3419861812,18620.3554454446,297925.68712759,-0.488230206581097,-0.00031543857241334,"combination1.1"
"17",2026,-9778.18094220012,-62872.5229283813,18620.3554455042,316546.042573452,-0.525133957341347,-0.000346632490419552,"combination1.1"
"18",2027,-10466.0259380937,-73338.548866475,18620.355445385,335166.39801836,-0.562074444217317,-0.000377164223184456,"combination1.1"
"19",2028,-11154.5144334957,-84493.0632999707,18620.3554454446,353786.753463745,-0.59904949001522,-0.000406937389016315,"combination1.1"
"20",2029,-11843.6101813763,-96336.673481347,18620.3554454446,372407.108909607,-0.636057148107441,-0.000435872987546881,"combination1.1"
"21",2030,-12533.2778230458,-108869.951304393,18620.355445385,391027.464354515,-0.673095519567657,-0.000463907662053176,"combination1.1"
"22",2010,-5.10681920312345,-5.10681920312345,26.8718279153109,26.8718279153109,-0.19004361069958,-6.74708131032098e-08,"combination1.2"
"23",2011,-11.6782802324742,-16.7850994355977,26.8718279004097,53.7436558008194,-0.43459195540234,-1.8586624594974e-07,"combination1.2"
"24",2012,-18.3356198742986,-35.1207193098962,26.8718278855085,80.6154837608337,-0.682336160845486,-3.47980623649491e-07,"combination1.2"
"25",2013,-24.9940366465598,-60.1147559564561,26.8718279004097,107.487311601639,-0.930120449535134,-5.47298718123201e-07,"combination1.2"
"26",2014,-31.6534262560308,-91.7681822124869,26.8718279004097,134.359139561653,-1.17794094147009,-7.77896615233864e-07,"combination1.2"
"27",2015,-38.3136972393841,-130.081879451871,26.8718279004097,161.230967402458,-1.42579423258363,-1.03440510890174e-06,"combination1.2"
"28",2016,-44.9747620485723,-175.056641500443,26.8718279004097,188.102795243263,-1.67367706488946,-1.31197417085893e-06,"combination1.2"
"29",2017,-51.6365447044373,-226.69318620488,26.8718278706074,214.974623203278,-1.92158661305351,-1.60623864986498e-06,"combination1.2"
"30",2018,-58.2989777028561,-284.992163907737,26.8718279004097,241.846451044083,-2.16952035860453,-1.91328516141454e-06,"combination1.2"
"31",2019,-64.9619983583689,-349.954162266105,26.8718279004097,268.718278884888,-2.41747597517839,-2.22962020701711e-06,"combination1.2"
"32",2020,-71.6255500093102,-421.579712275416,26.8718279004097,295.590106964111,-2.66545135205403,-2.55213957567335e-06,"combination1.2"
"33",2021,-78.2895833328366,-499.869295608252,26.871827930212,322.461934804916,-2.91344465051503,-2.87809904930825e-06,"combination1.2"
"34",2022,-84.9540511108935,-584.823346719146,26.8718278706074,349.333762645721,-3.16145412660286,-3.20508640117012e-06,"combination1.2"
"35",2023,-91.618917517364,-676.44226423651,26.8718279004097,376.205590724945,-3.40947842688317,-3.53099475414176e-06,"combination1.2"
"36",2024,-98.284135017544,-774.726399254054,26.8718279004097,403.077418804169,-3.65751579616382,-3.85399718583201e-06,"combination1.2"
"37",2025,-104.94967867434,-879.676077928394,26.8718278408051,429.949245929718,-3.90556531160018,-4.17252278483993e-06,"combination1.2"
"38",2026,-111.615517277271,-991.291595205665,26.8718279600143,456.821074485779,-4.15362577653281,-4.48523392604372e-06,"combination1.2"
"39",2027,-118.281619098037,-1109.5732143037,26.8718278408051,483.692902088165,-4.40169607362645,-4.79100487749129e-06,"combination1.2"
"40",2028,-124.947968073189,-1234.52118237689,26.8718279004097,510.564729690552,-4.64977553950784,-5.08890174066856e-06,"combination1.2"
"41",2029,-131.614532530308,-1366.1357149072,26.8718278408051,537.436557769775,-4.89786304489679,-5.37816357315535e-06,"combination1.2"
"42",2030,-138.281298317015,-1504.41701322421,26.8718277812004,564.308385848999,-5.1459580436042,-5.6581848333348e-06,"combination1.2"
"43",2010,6344.6312855538,6344.6312855538,11637.9336994737,11637.9336994737,0.545168193030752,4.70990293672119e-05,"combination1.3"
"44",2011,-2109.250723904,4235.3805616498,1772.0702317059,13410.0039311647,-1.19027490342384,2.81375170118614e-05,"combination1.3"
"45",2012,-777.772030055523,3457.60853159428,1772.070231691,15182.0741629004,-0.438905871870175,2.07997188924613e-05,"combination1.3"
"46",2013,-1072.89030215517,2384.71822943911,1772.0702317059,16954.1443945765,-0.605444571529389,1.18254830880904e-05,"combination1.3"
"47",2014,-1368.20060139708,1016.51762804203,1772.0702317059,18726.2146263123,-0.772091634359191,1.47554498786118e-06,"combination1.3"
"48",2015,-1663.68889336102,-647.17126531899,1772.0702317059,20498.2848579884,-0.938839140568062,-1.00136449348032e-05,"combination1.3"
"49",2016,-1959.34262136184,-2606.51388668083,1772.0702317059,22270.3550896645,-1.10568000427142,-2.24283947319881e-05,"combination1.3"
"50",2017,-2255.14974961616,-4861.66363629699,1772.0702316761,24042.4253213406,-1.27260743355704,-3.55762851551589e-05,"combination1.3"
"51",2018,-2551.09913249314,-7412.76276879013,1772.0702316761,25814.4955530167,-1.43961513877483,-4.92847356059478e-05,"combination1.3"
"52",2019,-2847.18155775592,-10259.944326546,1772.0702317059,27586.5657846928,-1.60669792134313,-6.33996259459257e-05,"combination1.3"
"53",2020,-3143.38730069622,-13403.3316272423,1772.0702317059,29358.6360163689,-1.77385029354633,-7.77839584720219e-05,"combination1.3"
"54",2021,-3439.70917341858,-16843.0408006608,1772.07023173571,31130.706248045,-1.9410681991139,-9.23165886148603e-05,"combination1.3"
