,ID,peningkatan.PDRB,penurunan.emisi,penurunan.intensitasEmisi,ScenarioName,ScenarioID
2,combination1.1,0.008860105,0.165883416,0.211945397,Pembangunan PLTMH off grid,scen1.energi
3,combination1.2,1.28E-05,0.002292256,0.002665765,Smart driving,scen10.energi
4,combination1.3,0.001262279,0.09317415,0.119828716,Pengadaan lampu tenaga surya hemat energi (LTSHE),scen11.energi
5,combination1.4,0.000982056,0.600224257,0.541325262,Pengembangan agroforestry,scen12.lahan
6,combination1.5,0.000998708,11.56466346,9.838087037,Rehabilitasi hutan dan lahan,scen13.lahan
7,combination1.6,0.000565266,0.851287073,0.750399826,Perhutanan sosial,scen14.lahan
8,combination1.7,0.000393553,8.035100479,8.855900599,Rehabilitasi mangrove,scen15.lahan
9,combination1.8,0.006134483,-0.054985684,-0.005374023,Pembangunan TPS 3R,scen16.limbah
10,combination1.9,0.00238461,-0.00283696,-0.006513212,Pembangunan ITF TPST,scen17.limbah
11,combination1.10,0.00156565,-0.006760515,-0.012708687,Rehabilitasi TPA,scen18.limbah
12,combination1.11,0.000327552,-0.001048362,-0.002619974,Pembangunan instalasi pengelolaan limbah tinja ,scen19.limbah
13,combination1.12,0.013279359,0.276788869,0.355413645,Pembangunan PLTS terpusat,scen2.energi
14,combination1.13,0.00062967,-0.006270309,-0.008318955,Pembangunan IPAL komunal Anaerobik,scen20.limbah
15,combination1.14,0.000433442,0.002040935,0.002696464,Pengembangan desa organik,scen21.pertanian
16,combination1.15,0.000929927,0.050895303,0.062141139,sistem pertanian terintegrasi,scen22.pertanian
17,combination1.16,0.000240367,0.04530927,0.052296357,pengembangan ternak terpadu,scen23.pertanian
18,combination1.17,0.000308184,-0.000317159,0.000399678,pengadaan lampu jalan tenaga surya,scen3.energi
19,combination1.18,0.001880147,-0.005737203,-0.005253356,Pembangunan instalasi biogas rumah,scen4.energi
20,combination1.19,0.000517116,0.042308436,0.059084274,Pembangunan PLTBm Off grid,scen5.energi
21,combination1.20,0.000107379,0.052159267,0.063762478,ITS-ATCS,scen6.energi
22,combination1.21,0.005317405,-0.113173809,0.893008901,BRT Mamminasata,scen7.energi
23,combination1.22,0.000645217,-0.043776267,0.054740319,Peremajaan armada angkutan umum,scen8.energi
24,combination1.23,0.000255003,-0.002347433,0.000724094,Car Free Day,scen9.energi
25,combination2.1,0.047130043,21.59099717,21.76199397,combination2.1,combination2.1
26,combination2.2,0.042457855,21.66039472,20.92458788,combination2.2,combination2.2
27,combination2.3,0.042067641,21.70182355,20.87062896,combination2.3,combination2.3
28,combination2.4,0.047667881,21.49506164,21.75289962,combination2.4,combination2.4
29,combination2.5,0.047277667,21.53649047,21.6989455,combination2.5,combination2.5
30,combination2.6,0.04260548,21.60588802,20.86154005,combination2.6,combination2.6
31,combination2.7,0.047258144,21.50491247,21.75757204,combination2.7,combination2.7
32,combination2.8,0.04686793,21.5463413,21.70361865,combination2.8,combination2.8
33,combination2.9,0.042195743,21.61573885,20.86622142,combination2.9,combination2.9
34,combination2.10,0.047405769,21.45040577,21.69452368,combination2.10,combination2.10
35,combination2.11,0.045895113,21.55295811,21.82214089,combination2.11,combination2.11
36,combination2.12,0.045504899,21.59438694,21.7681861,combination2.12,combination2.12
37,combination2.13,0.040832712,21.66378449,20.93076586,combination2.13,combination2.13
38,combination2.14,0.046042738,21.49845141,21.75909148,combination2.14,combination2.14
39,combination2.15,0.045633001,21.50830224,21.76376381,combination2.15,combination2.15
40,combination2.16,0.047467076,21.54753807,21.81627295,combination2.16,combination2.16
41,combination2.17,0.047076862,21.5889669,21.7623188,combination2.17,combination2.17
42,combination2.18,0.042404675,21.65836444,20.9249122,combination2.18,combination2.18
43,combination2.19,0.0476147,21.49303137,21.75322444,combination2.19,combination2.19
44,combination2.20,0.047204964,21.5028822,21.75789683,combination2.20,combination2.20
45,combination2.21,0.045841933,21.55092784,21.82246575,combination2.21,combination2.21
46,combination2.22,0.047534894,21.50191164,21.76438599,combination2.22,combination2.22
47,combination2.23,0.04714468,21.54334047,21.71043171,combination2.23,combination2.23
48,combination2.24,0.042472492,21.61273801,20.87302395,combination2.24,combination2.24
49,combination2.25,0.047682518,21.44740494,21.70133761,combination2.25,combination2.25
50,combination2.26,0.047272781,21.45725577,21.70601,combination2.26,combination2.26
51,combination2.27,0.04590975,21.50530141,21.77057812,combination2.27,combination2.27
52,combination2.28,0.047481713,21.49988136,21.76471082,combination2.28,combination2.28
53,combination2.29,0.046845333,21.4963256,21.75460592,combination2.29,combination2.29
54,combination2.30,0.046455119,21.53775444,21.70065113,combination2.30,combination2.30
55,combination2.31,0.041782931,21.60715198,20.86323768,combination2.31,combination2.31
56,combination2.32,0.046992957,21.4418189,21.69155714,combination2.32,combination2.32
57,combination2.33,0.04658322,21.45166974,21.69622953,combination2.33,combination2.33
58,combination2.34,0.045220189,21.49971538,21.76079819,combination2.34,combination2.34
59,combination2.35,0.046792152,21.49429533,21.75493078,combination2.35,combination2.35
60,combination2.36,0.04685997,21.4486689,21.70304356,combination2.36,combination2.36
61,combination2.37,0.047341819,21.54517997,21.8139903,combination2.37,combination2.37
62,combination2.38,0.046951605,21.58660881,21.76003595,combination2.38,combination2.38
63,combination2.39,0.042279417,21.65600635,20.92262828,combination2.39,combination2.39
64,combination2.40,0.047489443,21.49067327,21.7509417,combination2.40,combination2.40
65,combination2.41,0.047079706,21.5005241,21.75561407,combination2.41,combination2.41
66,combination2.42,0.045716675,21.54856974,21.82018307,combination2.42,combination2.42
67,combination2.43,0.047288638,21.5431497,21.81431514,combination2.43,combination2.43
68,combination2.44,0.047356455,21.49752327,21.7624281,combination2.44,combination2.44
69,combination2.45,0.046666895,21.49193724,21.75264802,combination2.45,combination2.45
70,combination2.46,0.04714559,21.55349122,21.82501817,combination2.46,combination2.46
71,combination2.47,0.046755376,21.59492005,21.77106379,combination2.47,combination2.47
72,combination2.48,0.042083189,21.66431759,20.93365459,combination2.48,combination2.48
73,combination2.49,0.047293214,21.49898452,21.76196945,combination2.49,combination2.49
74,combination2.50,0.046883478,21.50883535,21.76664179,combination2.50,combination2.50
75,combination2.51,0.045520447,21.55688099,21.83121108,combination2.51,combination2.51
76,combination2.52,0.047092409,21.55146094,21.82534302,combination2.52,combination2.52
77,combination2.53,0.047160227,21.50583451,21.77345591,combination2.53,combination2.53
78,combination2.54,0.046470666,21.50024848,21.7636759,combination2.54,combination2.54
79,combination2.55,0.046967152,21.54910285,21.82306036,combination2.55,combination2.55
80,combination2.56,0.034495902,21.27043204,21.46309958,combination2.56,combination2.56
81,combination2.57,0.034105688,21.31186087,21.40913901,combination2.57,combination2.57
82,combination2.58,0.0294335,21.38125841,20.57160755,combination2.58,combination2.58
83,combination2.59,0.034643526,21.21592534,21.40004444,combination2.59,combination2.59
84,combination2.60,0.034233789,21.22577617,21.40471677,combination2.60,combination2.60
85,combination2.61,0.032870758,21.27382181,21.46928889,combination2.61,combination2.61
86,combination2.62,0.034442721,21.26840176,21.46342444,combination2.62,combination2.62
87,combination2.63,0.034510538,21.22277534,21.41153226,combination2.63,combination2.63
88,combination2.64,0.033820977,21.2171893,21.40175088,combination2.64,combination2.64
89,combination2.65,0.034317463,21.26604367,21.46114106,combination2.65,combination2.65
90,combination2.66,0.034121235,21.27435491,21.47216953,combination2.66,combination2.66
91,combination2.67,0.047447708,21.54826927,21.81929449,combination2.67,combination2.67
92,combination2.68,0.047057494,21.5896981,21.76534033,combination2.68,combination2.68
93,combination2.69,0.042385307,21.65909565,20.92793362,combination2.69,combination2.69
94,combination2.70,0.047595333,21.49376257,21.75624596,combination2.70,combination2.70
95,combination2.71,0.047185596,21.5036134,21.76091832,combination2.71,combination2.71
96,combination2.72,0.045822565,21.55165904,21.82548732,combination2.72,combination2.72
97,combination2.73,0.047394528,21.546239,21.81961933,combination2.73,combination2.73
98,combination2.74,0.047462345,21.50061257,21.76773235,combination2.74,combination2.74
99,combination2.75,0.046772784,21.49502653,21.75795233,combination2.75,combination2.75
100,combination2.76,0.04726927,21.5438809,21.81733669,combination2.76,combination2.76
101,combination2.77,0.047073042,21.55219215,21.82836457,combination2.77,combination2.77
102,combination2.78,0.034423353,21.26913297,21.46644618,combination2.78,combination2.78
103,combination2.79,0.046209611,21.55398142,21.82955021,combination2.79,combination2.79
104,combination2.80,0.045819397,21.59541026,21.77559557,combination2.80,combination2.80
105,combination2.81,0.041147209,21.6648078,20.93817834,combination2.81,combination2.81
106,combination2.82,0.046357235,21.49947472,21.76650096,combination2.82,combination2.82
107,combination2.83,0.045947498,21.50932555,21.77117326,combination2.83,combination2.83
108,combination2.84,0.044584467,21.55737119,21.83574326,combination2.84,combination2.84
109,combination2.85,0.04615643,21.55195115,21.82987507,combination2.85,combination2.85
110,combination2.86,0.046224247,21.50632472,21.77798756,combination2.86,combination2.86
111,combination2.87,0.045534687,21.50073869,21.76820768,combination2.87,combination2.87
112,combination2.88,0.046031172,21.54959305,21.82759242,combination2.88,combination2.88
113,combination2.89,0.045834944,21.5579043,21.83862041,combination2.89,combination2.89
114,combination2.90,0.033185255,21.27484512,21.47669987,combination2.90,combination2.90
115,combination2.91,0.046137062,21.55268235,21.83289663,combination2.91,combination2.91
116,combination2.92,0.045390651,21.55005787,21.82362248,combination2.92,combination2.92
117,combination2.93,0.045000437,21.5914867,21.7696673,combination2.93,combination2.93
118,combination2.94,0.040328249,21.66088424,20.93224377,combination2.94,combination2.94
119,combination2.95,0.045538275,21.49555117,21.76057265,combination2.95,combination2.95
120,combination2.96,0.045128538,21.505402,21.76524505,combination2.96,combination2.96
121,combination2.97,0.043765507,21.55344764,21.82981543,combination2.97,combination2.97
122,combination2.98,0.04533747,21.54802759,21.82394731,combination2.98,combination2.98
123,combination2.99,0.045405287,21.50240116,21.7720593,combination2.99,combination2.99
124,combination2.100,0.044715726,21.49681513,21.76227896,combination2.100,combination2.100
125,combination2.101,0.045212212,21.5456695,21.82166461,combination2.101,combination2.101
126,combination2.102,0.045015984,21.55398074,21.83269271,combination2.102,combination2.102
127,combination2.103,0.032366295,21.27092157,21.47076734,combination2.103,combination2.103
128,combination2.104,0.045318102,21.5487588,21.82696891,combination2.104,combination2.104
129,combination2.105,0.044080004,21.55447095,21.83722489,combination2.105,combination2.105
130,combination2.106,0.041640778,21.60220659,21.82284511,combination2.106,combination2.106
131,combination2.107,0.041250564,21.64363543,21.76888855,combination2.107,combination2.107
132,combination2.108,0.036578376,21.71303297,20.93143156,combination2.108,combination2.108
133,combination2.109,0.041788402,21.54769989,21.75979337,combination2.109,combination2.109
134,combination2.110,0.041378665,21.55755072,21.76446599,combination2.110,combination2.110
135,combination2.111,0.040015634,21.60559636,21.8290384,combination2.111,combination2.111
136,combination2.112,0.041587597,21.60017632,21.82317,combination2.112,combination2.112
137,combination2.113,0.041655414,21.55454989,21.7712806,combination2.113,combination2.113
138,combination2.114,0.040965854,21.54896386,21.76150079,combination2.114,combination2.114
139,combination2.115,0.041462339,21.59781822,21.82088719,combination2.115,combination2.115
140,combination2.116,0.041266111,21.60612947,21.83191553,combination2.116,combination2.116
141,combination2.117,0.028616422,21.32307029,21.46998258,combination2.117,combination2.117
142,combination2.118,0.041568229,21.60090752,21.82619165,combination2.118,combination2.118
143,combination2.119,0.040330131,21.60661967,21.83644806,combination2.119,combination2.119
