"","Year","TotalEmission","CummulativeEmission","ResultTotalGDP","CummulativeGDP","EmissionIntensity","CummulativeEmissionIntensity","ID","Category","ScenarioName"
"1",2010,13830428.91,13830428.91,112104264.8455,112104264.8455,0.123371121777221,0.123371121777221,"BAU","BAU","BAU"
"2",2011,1751741.93,15582170.84,120055835.932784,232160100.778284,0.0145910602045265,0.137962181981747,"BAU","BAU","BAU"
"3",2012,3623942.77,19206113.61,128662010.638135,360822111.416418,0.0281663775657325,0.16612855954748,"BAU","BAU","BAU"
"4",2013,1879903.89,21086017.5,137981881.939628,498803993.356047,0.0136242806923196,0.179752840239799,"BAU","BAU","BAU"
"5",2014,1905938.88,22991956.38,148080190.417913,646884183.77396,0.0128709915527597,0.192623831792559,"BAU","BAU","BAU"
"6",2015,1942196,24934152.38,159027885.222294,805912068.996253,0.012212927294387,0.204836759086946,"BAU","BAU","BAU"
"7",2016,1998711.57,26932863.95,170902742.44841,976814811.444663,0.0116950233879561,0.216531782474902,"BAU","BAU","BAU"
"8",2017,2065448.98,28998312.93,183790046.958702,1160604858.40337,0.011238089407878,0.22776987188278,"BAU","BAU","BAU"
"9",2018,2112397.64,31110710.57,197783344.326079,1358388202.72944,0.0106803616209329,0.238450233503713,"BAU","BAU","BAU"
"10",2019,2189544.05,33300254.62,212985270.301921,1571373473.03137,0.0102802604466317,0.248730493950345,"BAU","BAU","BAU"
"11",2020,2266901.75,35567156.37,229508466.00988,1800881939.04125,0.00987720317865055,0.258607697128995,"BAU","BAU","BAU"
"12",2021,2364431.32,37931587.69,247476587.955758,2048358526.997,0.00955416162607954,0.268161858755075,"BAU","BAU","BAU"
"13",2022,2462145.41,40393733.1,267025422.931264,2315383949.92827,0.00922064042806064,0.277382499183136,"BAU","BAU","BAU"
"14",2023,2590043.73,42983776.83,288304118.986564,2603688068.91483,0.00898372086775736,0.286366220050893,"BAU","BAU","BAU"
"15",2024,2708113.03,45691889.86,311476544.865994,2915164613.78082,0.00869443646604309,0.295060656516936,"BAU","BAU","BAU"
"16",2025,2866377.1,48558266.96,336722791.656804,3251887405.43763,0.00851257227316374,0.3035732287901,"BAU","BAU","BAU"
"17",2026,3014805.82,51573072.78,364240831.907984,3616128237.34561,0.00827695732026445,0.311850186110364,"BAU","BAU","BAU"
"18",2027,3203456.09,54776528.87,394248353.152332,4010376590.49794,0.00812547741641986,0.319975663526784,"BAU","BAU","BAU"
"19",2028,3392251.87,58168780.74,426984784.629423,4437361375.12737,0.00794466686428678,0.327920330391071,"BAU","BAU","BAU"
"20",2029,3611244.16999999,61780024.91,462713538.081476,4900074913.20884,0.0078044921377773,0.335724822528848,"BAU","BAU","BAU"
"21",2030,3850376.06,65630400.97,501724485.802578,5401799399.01142,0.00767428373331389,0.343399106262162,"BAU","BAU","BAU"
"22",2010,13842060.7368616,13842060.7368616,112122885.200945,112122885.200945,0.123454375188919,0.123459679327719,"combination1.1","Q1","Pembangunan PLTMH off grid"
"23",2011,1752166.94463244,15594227.6814941,120074456.288229,232197341.489175,0.0145923371114545,0.138039645474706,"combination1.1","Q1","Pembangunan PLTMH off grid"
"24",2012,3623696.91023345,19217924.5917275,128680630.99358,360877972.482755,0.0281603912123669,0.166190529840251,"combination1.1","Q1","Pembangunan PLTMH off grid"
"25",2013,1878985.38578571,21096909.9775132,138000502.295074,498878474.777829,0.0136157865698782,0.179795560207184,"combination1.1","Q1","Pembangunan PLTMH off grid"
"26",2014,1904346.08920647,23001256.0667197,148098810.773358,646977285.551187,0.0128586183728428,0.192644129843337,"combination1.1","Q1","Pembangunan PLTMH off grid"
"27",2015,1939927.39584696,24941183.4625667,159046505.577739,806023791.128926,0.0121972336883488,0.204831995870034,"combination1.1","Q1","Pembangunan PLTMH off grid"
"28",2016,1995765.73251675,26936949.1950834,170921362.803856,976945153.932782,0.0116765142740351,0.216499800751695,"combination1.1","Q1","Pembangunan PLTMH off grid"
"29",2017,2061824.58750167,28998773.7825851,183808667.314148,1160753821.24693,0.0112172326671506,0.227708949499282,"combination1.1","Q1","Pembangunan PLTMH off grid"
"30",2018,2108093.46002658,31106867.2426117,197801964.681524,1358555785.92845,0.0106575961640258,0.238359039384393,"combination1.1","Q1","Pembangunan PLTMH off grid"
"31",2019,2184558.93306649,33291426.1756782,213003890.657367,1571559676.58582,0.010255957890368,0.248608047044484,"combination1.1","Q1","Pembangunan PLTMH off grid"
"32",2020,2261234.62304794,35552660.7987261,229527086.365325,1801086762.95115,0.00985171144223415,0.258453328213608,"combination1.1","Q1","Pembangunan PLTMH off grid"
"33",2021,2358081.17873127,37910741.9774574,247495208.311203,2048581971.26235,0.00952778518348604,0.267975174990115,"combination1.1","Q1","Pembangunan PLTMH off grid"
"34",2022,2455111.31517899,40365853.2926364,267044043.286709,2315626014.54906,0.00919365691502463,0.277163351330781,"combination1.1","Q1","Pembangunan PLTMH off grid"
"35",2023,2582324.80200094,42948178.0946373,288322739.34201,2603948753.89107,0.00895636885212086,0.286114672239867,"combination1.1","Q1","Pembangunan PLTMH off grid"
"36",2024,2699708.44336224,45647886.5379996,311495165.221439,2915443919.11251,0.008666935300402,0.294776958438714,"combination1.1","Q1","Pembangunan PLTMH off grid"
"37",2025,2857286.08001426,48505172.6180138,336741412.01225,3252185331.12476,0.00848510452854643,0.303257790217687,"combination1.1","Q1","Pembangunan PLTMH off grid"
"38",2026,3005027.6390578,51510200.2570716,364259452.263429,3616444783.38819,0.00824969021499706,0.311503553619945,"combination1.1","Q1","Pembangunan PLTMH off grid"
"39",2027,3192990.0640619,54703190.3211335,394266973.507777,4010711756.89596,0.00809854813770984,0.3195984993036,"combination1.1","Q1","Pembangunan PLTMH off grid"
