,Year,TotalEmission,CummulativeEmission,ResultTotalGDP,CummulativeGDP,EmissionIntensity,CummulativeEmissionIntensity,ID,ScenarioName
1,2010,-3131.728728,-3131.728728,6317.628801,6317.628801,-0.495712684,-2.85E-05,combination1.1,Pembangunan PLTS Terpusat Off Grid
2,2011,-278.8588132,-3410.587541,6317.628801,12635.2576,-0.044139791,-3.28E-05,combination1.1,Pembangunan PLTS Terpusat Off Grid
3,2012,-744.681416,-4155.268957,6317.628801,18952.8864,-0.117873563,-4.04E-05,combination1.1,Pembangunan PLTS Terpusat Off Grid
4,2013,-1210.717881,-5365.986838,6317.628801,25270.5152,-0.191641187,-5.10E-05,combination1.1,Pembangunan PLTS Terpusat Off Grid
5,2014,-1676.949158,-7042.935996,6317.628801,31588.144,-0.265439647,-6.42E-05,combination1.1,Pembangunan PLTS Terpusat Off Grid
6,2015,-677.7998645,-7720.73586,3158.817023,34746.96103,-0.214573956,-6.94E-05,combination1.1,Pembangunan PLTS Terpusat Off Grid
7,2016,-2473.370452,-10194.10631,3158.817023,37905.77805,-0.783005294,-8.54E-05,combination1.1,Pembangunan PLTS Terpusat Off Grid
8,2017,-2706.725689,-12900.832,3158.817023,41064.59507,-0.856879544,-0.000101978,combination1.1,Pembangunan PLTS Terpusat Off Grid
9,2018,-2940.146582,-15840.97858,3158.817023,44223.4121,-0.930774578,-0.000118914,combination1.1,Pembangunan PLTS Terpusat Off Grid
10,2019,-3173.62845,-19014.60703,3158.817023,47382.22912,-1.004688916,-0.000136149,combination1.1,Pembangunan PLTS Terpusat Off Grid
11,2020,-3407.162719,-22421.76975,3158.817023,50541.04614,-1.078619842,-0.000153587,combination1.1,Pembangunan PLTS Terpusat Off Grid
12,2021,-3640.744265,-26062.51402,3158.817023,53699.86316,-1.152565735,-0.00017114,combination1.1,Pembangunan PLTS Terpusat Off Grid
13,2022,-3874.376578,-29936.89059,3158.817023,56858.68019,-1.2265277,-0.000188727,combination1.1,Pembangunan PLTS Terpusat Off Grid
14,2023,-4108.040592,-34044.93119,3158.817023,60017.49721,-1.3004997,-0.000206275,combination1.1,Pembangunan PLTS Terpusat Off Grid
