"","Year","TotalEmission","CummulativeEmission","ResultTotalGDP","CummulativeGDP","EmissionIntensity","CummulativeEmissionIntensity","ID"
"1",2010,-3131.72872771882,-3131.72872771882,6317.62880054116,6317.62880054116,-0.495712683760488,-2.84533024981007e-05,"combination1.1"
"2",2011,-278.858813217841,-3410.58754093666,6317.62880055606,12635.2576011121,-0.0441397907381479,-3.27585115719453e-05,"combination1.1"
"3",2012,-744.681416012347,-4155.268956949,6317.62880055606,18952.8864016533,-0.117873562933422,-4.03745285970647e-05,"combination1.1"
"4",2013,-1210.71788078826,-5365.98683773726,6317.62880057096,25270.5152022839,-0.191641186750136,-5.09608804670769e-05,"combination1.1"
"5",2014,-1676.94915818423,-7042.93599592149,6317.62880057096,31588.1440027952,-0.265439646918267,-6.41950674992453e-05,"combination1.1"
"6",2015,-677.799864546396,-7720.73586046789,3158.81702303886,34746.9610258341,-0.214573955883755,-6.94226605401915e-05,"combination1.1"
"7",2016,-2473.37045156676,-10194.1063120347,3158.81702306867,37905.7780489922,-0.783005293913473,-8.54431436956293e-05,"combination1.1"
"8",2017,-2706.72568878438,-12900.832000819,3158.81702306867,41064.595072031,-0.856879543518132,-0.000101977564859523,"combination1.1"
"9",2018,-2940.14658193942,-15840.9785827585,3158.81702306867,44223.4120950699,-0.930774578099236,-0.000118914167202055,"combination1.1"
"10",2019,-3173.62845022324,-19014.6070329817,3158.81702306867,47382.2291181087,-1.00468891583349,-0.00013614933100381,"combination1.1"
"11",2020,-3407.16271871328,-22421.769751695,3158.81702306867,50541.046141386,-1.07861984212158,-0.000153587335633698,"combination1.1"
"12",2021,-3640.74426474143,-26062.5140164364,3158.81702306867,53699.8631641865,-1.15256573525889,-0.000171140144566151,"combination1.1"
"13",2022,-3874.37657841854,-29936.890594855,3158.81702303886,56858.6801872253,-1.22652770013607,-0.000188727192603433,"combination1.1"
"14",2023,-4108.04059235007,-34044.931187205,3158.81702303886,60017.4972100258,-1.30049970048535,-0.000206275018625246,"combination1.1"
"15",2024,-4341.74722622707,-38386.6784134321,3158.81702300906,63176.3142333031,-1.37448519322311,-0.000223717119264832,"combination1.1"
"16",2025,-4575.48331698216,-42962.1617304143,3158.81702303886,66335.1312561035,-1.44848001122282,-0.000240993556554714,"combination1.1"
"17",2026,-4809.25230299123,-47771.4140334055,3158.81702303886,69493.9482793808,-1.52248524302449,-0.000258050725345016,"combination1.1"
"18",2027,-5043.03862782381,-52814.4526612293,3158.81702297926,72652.7653021812,-1.59649596388063,-0.000274840979402446,"combination1.1"
"19",2028,-5276.85738245212,-58091.3100436814,3158.81702303886,75811.5823254585,-1.67051695111344,-0.000291322423527252,"combination1.1"
"20",2029,-5510.68905284256,-63601.999096524,3158.81702303886,78970.3993487358,-1.74454202717356,-0.000307458485144685,"combination1.1"
"21",2030,-5744.54325073585,-69346.5423472598,3158.81702303886,82129.2163715363,-1.81857423486006,-0.000323217688588673,"combination1.1"
"22",2010,1943.10091300774,1943.10091300774,235.079738557339,235.079738557339,8.26570986054504,1.62072743078515e-05,"combination1.2"
"23",2011,-29.9081515735015,1913.19276143424,235.07973857224,470.15947714448,-0.12722556080396,1.58911894104496e-05,"combination1.2"
"24",2012,-29.9163228860125,1883.27643854823,235.079738587141,705.239215731621,-0.127260320544056,1.55910312500673e-05,"combination1.2"
"25",2013,-29.8740241173655,1853.40241443086,235.079738587141,940.318954348564,-0.127080386837726,1.53066067075935e-05,"combination1.2"
"26",2014,-29.7862823233008,1823.61613210756,235.079738557339,1175.3986928463,-0.126707144163492,1.50376295083299e-05,"combination1.2"
"27",2015,-29.6577047891915,1793.95842731837,235.079738557339,1410.47843146324,-0.126160191308693,1.47837373178916e-05,"combination1.2"
"28",2016,-7369.49251674954,-5575.53408943117,235.079738587141,1645.55817008018,-31.3489055289968,-3.07102051497754e-05,"combination1.2"
"29",2017,-11773.2945831893,-17348.8286726205,235.079738587141,1880.63790869713,-50.0821323604845,-9.95321321966558e-05,"combination1.2"
"30",2018,-15296.2674402073,-32645.0961128278,235.079738557339,2115.71764707565,-65.0684211837183,-0.000184157492028103,"combination1.2"
"31",2019,-18085.2143255826,-50730.3104384104,235.079738587141,2350.7973856926,-76.9322547076028,-0.000278783540845595,"combination1.2"
"32",2020,-20360.3381965691,-71090.6486349795,235.079738587141,2585.87712430954,-86.6103489774888,-0.000379455451252508,"combination1.2"
"33",2021,-22121.6417676928,-93212.2904026723,235.079738557339,2820.95686292648,-94.1027155443132,-0.000482740184991448,"combination1.2"
"34",2022,-23589.3275074419,-116801.617910114,235.079738557339,3056.03660154343,-100.346068326463,-0.000586657084120201,"combination1.2"
"35",2023,-24763.3976746351,-141565.015584749,235.079738527536,3291.11633968353,-105.340416957008,-0.000689503715784023,"combination1.2"
"36",2024,-25643.8543289974,-167208.869913747,235.079738527536,3526.19607830048,-109.085770171527,-0.000789833877808954,"combination1.2"
"37",2025,-26377.4993537143,-193586.369267461,235.079738557339,3761.27581691742,-112.206604940053,-0.000886976737400014,"combination1.2"
"38",2026,-27697.6920632347,-221284.061330696,117.539869248867,3878.81568622589,-235.64508145394,-0.000982903969030335,"combination1.2"
"39",2027,-27464.6806055773,-248748.741936273,117.539869248867,3996.35555553436,-233.662677873381,-0.00107230352585708,"combination1.2"
"40",2028,-27831.4905174077,-276580.232453681,117.539869248867,4113.895424366,-236.783405454366,-0.00115738355286221,"combination1.2"
"41",2029,-28124.8976071123,-304705.130060793,117.539869308472,4231.43529415131,-239.279639943289,-0.00123806723622555,"combination1.2"
"42",2030,-28344.9024604969,-333050.03252129,117.539869248867,4348.97516345978,-241.151386688054,-0.00131431911323898,"combination1.2"
"43",2010,-127.617049845867,-127.617049845867,241.928518891335,241.928518891335,-0.527498991977824,-1.15411790043568e-06,"combination1.3"
"44",2011,11.2437620311975,-116.373287814669,241.928518906236,483.857037812471,0.0464755543580842,-1.14403125575646e-06,"combination1.3"
"45",2012,10.4133695410565,-105.959918273613,241.928518906236,725.785556733608,0.0430431665854672,-1.14014596037937e-06,"combination1.3"
"46",2013,9.64938463550061,-96.3105336381122,241.928518921137,967.714075684547,0.0398852713955815,-1.14138774162664e-06,"combination1.3"
"47",2014,8.94650759641081,-87.3640260417014,241.928518891335,1209.64259457588,0.0369799626658701,-1.14682971227853e-06,"combination1.3"
"48",2015,8.29986025393009,-79.0641657877713,241.928518891335,1451.57111334801,0.0343070767016851,-1.15567411426709e-06,"combination1.3"
"49",2016,7.70495163463056,-71.3592141531408,241.928518921137,1693.49963235855,0.0318480502794389,-1.16723620924297e-06,"combination1.3"
"50",2017,7.15764264948666,-64.2015715036541,241.928518891335,1935.42815136909,0.0295857746837264,-1.18093008893982e-06,"combination1.3"
"51",2018,6.65413827262819,-57.5474332310259,241.928518891335,2177.35667014122,0.0275045633442537,-1.19625604177998e-06,"combination1.3"
"52",2019,-31557.2036645431,-31614.7510977741,241.928518921137,2419.28518915176,-130.440196985747,-0.000166276863715897,"combination1.3"
"53",2020,-50326.3033846309,-81941.0544824051,241.928518921137,2661.21370816231,-208.021375938056,-0.000415051495753882,"combination1.3"
"54",2021,-65903.5699871248,-147844.62446953,241.928518891335,2903.14222669601,-272.409264890041,-0.000722670160922645,"combination1.3"
"55",2022,-77733.9553981237,-225578.579867654,241.928518891335,3145.07074546814,-321.309599026806,-0.00106501897722455,"combination1.3"
"56",2023,-87875.7449323125,-313454.324799966,241.928518891335,3386.9992647171,-363.230202602873,-0.00142988959945423,"combination1.3"
"57",2024,-95549.5796903651,-409003.904490331,241.92851883173,3628.92778348923,-394.94963285756,-0.00180362945887114,"combination1.3"
"58",2025,-101831.388304047,-510835.292794378,120.964259445667,3749.89204263687,-841.830378416744,-0.00217854601874168,"combination1.3"
"59",2026,-106966.911206739,-617802.204001117,120.964259445667,3870.85630226135,-884.285256628092,-0.00254896896641499,"combination1.3"
"60",2027,-110803.794773174,-728605.998774292,120.964259386063,3991.82056188583,-916.004407711367,-0.00290960125098305,"combination1.3"
"61",2028,-114001.20802623,-842607.206800522,120.964259445667,4112.78482103348,-942.437117778872,-0.00325805922834299,"combination1.3"
"62",2029,-116564.656714685,-959171.863515208,120.964259445667,4233.74908065796,-963.628903684909,-0.00359241744766869,"combination1.3"
"63",2030,-118802.861943979,-1077974.72545919,120.964259386063,4354.7133398056,-982.131933406994,-0.00391197804176058,"combination1.3"
"64",2010,-3895.76247416157,-3895.76247416157,4727.6938046664,4727.6938046664,-0.824030200584547,-3.4304452767718e-05,"combination1.4"
"65",2011,168.126742366701,-3727.63573179487,4727.6938046664,9455.3876093328,0.0355621047625281,-3.45191092511188e-05,"combination1.4"
"66",2012,169.095860389061,-3558.53987140581,4727.6938046813,14183.0814140439,0.0357670922388469,-3.47043253938473e-05,"combination1.4"
"67",2013,169.905378745869,-3388.63449265994,4727.6938046813,18910.7752187252,0.0359383212545683,-3.48632314835229e-05,"combination1.4"
"68",2014,170.569862795994,-3218.06462986395,4727.6938046813,23638.4690234661,0.0360788726687624,-3.49987657641548e-05,"combination1.4"
"69",2015,171.102593582124,-3046.96203628182,4727.6938046813,28366.1628280878,0.0361915556825402,-3.51136630704074e-05,"combination1.4"
"70",2016,171.515677128918,-2875.44635915291,4727.6938046813,33093.8566328287,0.0362789309576449,-3.52104495701111e-05,"combination1.4"
"71",2017,171.82015699707,-2703.62620215584,4727.6938046813,37821.5504374504,0.0363433344238444,-3.5291442246399e-05,"combination1.4"
"72",2018,172.026129788719,-2531.60007236712,4727.6938046813,42549.2442419529,0.0363869017105932,-3.5358752004e-05,"combination1.4"
"73",2019,172.14280379843,-2359.45726856869,4727.6938046813,47276.9380469322,0.0364115805528641,-3.5414289811686e-05,"combination1.4"
"74",2020,172.178604636341,-2187.27866393235,4727.6938046813,52004.6318514347,0.0364191531325172,-3.5459774830382e-05,"combination1.4"
"75",2021,172.141231405549,-2015.1374325268,4727.6938046515,56732.3256561756,0.036411247961148,-3.54967441754117e-05,"combination1.4"
"76",2022,172.037739688531,-1843.09969283827,4727.6938046515,61460.0194606781,0.0363893574324263,-3.55265636492463e-05,"combination1.4"
"77",2023,171.874560516328,-1671.22513232194,4727.6938046217,66187.713265419,0.0363548418360568,-3.55504393159123e-05,"combination1.4"
"78",2024,171.657606702298,-1499.56752561964,4727.69380459189,70915.4070701599,0.0363089518478483,-3.55694291692688e-05,"combination1.4"
"79",2025,171.392289636657,-1328.17523598298,4727.6938046217,75643.100874424,0.0362528320825488,-3.55844550273821e-05,"combination1.4"
"80",2026,171.083552211523,-1157.09168377146,4727.6938046813,80370.7946791649,0.0361875280590546,-3.55963143281457e-05,"combination1.4"
"81",2027,170.73593813926,-986.355745632201,4727.6938046217,85098.4884839058,0.0361140008628207,-3.56056915200575e-05,"combination1.4"
"82",2028,170.353611689061,-816.002133943141,4727.6938046813,89826.1822881699,0.0360331313166642,-3.5613169104054e-05,"combination1.4"
"83",2029,169.940379386768,-646.061754556373,4727.6938046813,94553.8760933876,0.0359457245768529,-3.56192381955056e-05,"combination1.4"
"84",2030,1105.13868373446,459.076929178089,3151.78317719698,97705.6592702866,0.350639184741544,-3.29540434141906e-05,"combination1.4"
"85",2010,-38193.2171935588,-38193.2171935588,28949.7903045863,28949.7903045863,-1.31929166987811,-0.000330184283844133,"combination1.5"
"86",2011,1160.79838444944,-37032.4188091094,28949.7903045863,57899.5806091726,0.0400969531121456,-0.000330450961633547,"combination1.5"
"87",2012,1163.7818351863,-35868.6369739231,28949.7903046012,86849.3709138036,0.0402000091517529,-0.000330610867166264,"combination1.5"
"88",2013,1165.64561127778,-34702.9913626453,28949.7903046012,115799.161218405,0.0402643887576801,-0.000330680252598248,"combination1.5"
"89",2014,1166.49693287909,-33536.4944297662,28949.7903045714,144748.951522946,0.0402937955890786,-0.000330674040247725,"combination1.5"
"90",2015,1166.43345719203,-32370.0609725742,28949.7903045714,173698.741827488,0.0402916029760618,-0.000330605801923872,"combination1.5"
"91",2016,1165.54416240565,-31204.5168101685,28949.7903046012,202648.532132149,0.0402608844534672,-0.000330487768704035,"combination1.5"
"92",2017,1163.91016870923,-30040.6066414593,28949.7903046012,231598.32243681,0.0402044421207516,-0.000330330863988537,"combination1.5"
"93",2018,1161.605470296,-28879.0011711633,28949.7903046012,260548.112741232,0.0401248319270683,-0.000330144754126793,"combination1.5"
"94",2019,1158.69758049306,-27720.3035906702,28949.7903046012,289497.903045893,0.0400243859558767,-0.000329937911940581,"combination1.5"
"95",2020,1155.24812822789,-26565.0554624423,28949.7903046012,318447.693350554,0.0399052330283815,-0.00032971768914225,"combination1.5"
"96",2021,1151.31340001058,-25413.7420624318,28949.7903046012,347397.483654976,0.0397693174249898,-0.000329490394458898,"combination1.5"
"97",2022,1146.94479843415,-24266.7972639976,28949.7903045714,376347.273959637,0.0396184147231299,-0.000329261375037082,"combination1.5"
"98",2023,1142.18930146284,-23124.6079625348,28949.7903045714,405297.064264297,0.0394541476620811,-0.000329035098826314,"combination1.5"
"99",2024,1137.08984608017,-21987.5181164546,28949.7903045416,434246.854568958,0.0392779993954493,-0.000328815236463997,"combination1.5"
"100",2025,1131.68567344546,-20855.8324430091,28949.7903045416,463196.644873142,0.0390913254134323,-0.000328604741367089,"combination1.5"
"101",2026,1126.01266649179,-19729.8197765173,28949.7903046012,492146.435177803,0.0388953652045219,-0.00032840592693073,"combination1.5"
"102",2027,1120.10364144482,-18609.7161350725,28949.7903045416,521096.225482464,0.0386912523255513,-0.000328220540168789,"combination1.5"
"103",2028,10498.13226909,-8111.58386598248,19299.8602030277,540396.085685253,0.543948617174083,-0.000298290894437669,"combination1.5"
"104",2029,738.50413493067,-7373.07973105181,19299.8602030873,559695.945888996,0.0382647401151918,-0.000298187299514363,"combination1.5"
"105",2030,734.208206592128,-6638.87152445968,19299.8602030277,578995.806091309,0.0380421515424732,-0.000298094335604238,"combination1.5"
"106",2010,-1866.77842591051,-1866.77842591051,3144.27721107006,3144.27721107006,-0.593706693334208,-1.67444915766188e-05,"combination1.6"
"107",2011,66.5244777323678,-1800.25394817814,3144.27721108496,6288.55442216992,0.0211573195575249,-1.72487206395455e-05,"combination1.6"
"108",2012,66.7514759637415,-1733.5024722144,3144.27721108496,9432.83163326979,0.0212295136473378,-1.77189158748758e-05,"combination1.6"
"109",2013,66.9155340930447,-1666.58693812136,3144.27721109986,12577.1088443995,0.0212816903855744,-1.81571267047209e-05,"combination1.6"
"110",2014,67.0226589301601,-1599.5642791912,3144.27721107006,15721.3860554695,0.0213157601671358,-1.85653604444502e-05,"combination1.6"
"111",2015,67.0783095192164,-1532.48596967198,3144.27721107006,18865.6632664204,0.0213334591756267,-1.89455631803559e-05,"combination1.6"
"112",2016,67.0874604359269,-1465.39850923605,3144.27721109986,22009.9404776096,0.0213363695157336,-1.9299605760803e-05,"combination1.6"
"113",2017,67.0546800158918,-1398.34382922016,3144.27721107006,25154.2176887989,0.0213259440929102,-1.96292738507409e-05,"combination1.6"
"114",2018,66.9840426873416,-1331.35978653282,3144.27721107006,28298.4948997498,0.0213034787300276,-1.99362621973731e-05,"combination1.6"
"115",2019,66.8793332194909,-1264.48045331333,3144.27721109986,31442.772110939,0.0212701771279564,-2.02221706472883e-05,"combination1.6"
"116",2020,66.7439818354324,-1197.7364714779,3144.27721109986,34587.0493218899,0.0212271302287897,-2.04885029688184e-05,"combination1.6"
"117",2021,66.5811172034591,-1131.15535427444,3144.27721107006,37731.3265328407,0.0211753330682953,-2.07366672699272e-05,"combination1.6"
"118",2022,66.3936009593308,-1064.76175331511,3144.27721107006,40875.60374403,0.0211156957553166,-2.09679777291027e-05,"combination1.6"
"119",2023,66.1840335261077,-998.577719788998,3144.27721104026,44019.8809552193,0.0210490453239049,-2.11836574361968e-05,"combination1.6"
"120",2024,65.9548067376018,-932.622913051397,3144.27721104026,47164.1581659317,0.0209761424679795,-2.13848418536555e-05,"combination1.6"
"121",2025,65.7081015463918,-866.914811505005,3144.27721107006,50308.435377121,0.0208976808135915,-2.15725829194602e-05,"combination1.6"
"122",2026,65.4458846002817,-801.468926904723,3144.27721107006,53452.7125883102,0.0208142858300999,-2.17478535743387e-05,"combination1.6"
"123",2027,65.1699889879674,-736.298937916756,3144.27721101046,56596.9897994995,0.020726540509774,-2.1911552262166e-05,"combination1.6"
"124",2028,64.8820741903037,-671.416863726452,3144.27721107006,59741.2670102119,0.0206349726295993,-2.20645077325665e-05,"combination1.6"
"125",2029,64.5836581196636,-606.833205606788,3144.27721107006,62885.5442214012,0.0205400649447459,-2.22074837693542e-05,"combination1.6"
"126",2030,64.2761235777289,-542.55708202906,3144.27721107006,66029.8214321136,0.0204422572384623,-2.23411838635723e-05,"combination1.6"
"127",2010,-15890.3767270418,-15890.3767270418,11122.4886462539,11122.4886462539,-1.42867097755084,-0.000137073202101885,"combination1.7"
"128",2011,16156.9758915482,266.59916450642,0,11122.488646239,Inf,-8.1269309002846e-06,"combination1.7"
"129",2012,-15415.9779777974,-15149.378813291,11122.4886462688,22244.9772925377,-1.38601876505119,-0.000128606541050319,"combination1.7"
"130",2013,15683.2115069311,533.832693640143,0,22244.9772925377,Inf,-1.54410260431725e-05,"combination1.7"
"131",2014,-14938.3829582119,-14404.5502645718,11122.4886462688,33367.4659388065,-1.34307918248342,-0.000120870450992128,"combination1.7"
"132",2015,15206.2508504502,801.700585878454,0,33367.4659388065,Inf,-2.19888575299088e-05,"combination1.7"
"133",2016,-14460.8019765038,-13659.1013906254,11122.4886462688,44489.9545850754,-1.30014086203224,-0.000113856209387253,"combination1.7"
"134",2017,14729.3042339338,1070.20284330845,0,44489.9545850754,Inf,-2.78219965130777e-05,"combination1.7"
"135",2018,-13985.852419436,-12915.6495761275,11122.4886462688,55612.4432313442,-1.25743912753983,-0.000107542548848816,"combination1.7"
"136",2019,14254.9890413731,1339.3394652456,0,55612.4432313442,Inf,-3.29944980152486e-05,"combination1.7"
