"","ID","peningkatan.PDRB","penurunan.emisi","penurunan.intensitasEmisi","ScenarioName","ScenarioID"
"2","combination1.1",0.00220222830110364,0.00889076337407367,0.0107802509395088,"Pembangunan PLTS Terpusat Off Grid","scen1.energi"
"3","combination1.2",0.000112743569601461,0.0426995915102582,0.0401885920326405,"Pengembangan Teknik Budidaya Agroforestri","scen10.lahan"
"4","combination1.3",0.000113907561446292,0.138204701819237,0.127136057058415,"Perlindungan dan Konservasi SDA","scen11.lahan"
"5","combination1.4",0.00241978653676424,-5.88572149377261e-05,0.00247935435411269,"Pembangunan TPA","scen12.limbah"
"6","combination1.5",0.0145451816708661,0.000851154705007123,0.0165041270499585,"Pembangunan ITF","scen13.limbah"
"7","combination1.6",0.00162276711091114,6.95600165367446e-05,0.0017402664717432,"Pembangunan TPS 3R","scen14.limbah"
"8","combination1.7",0.00301833993655524,0.00110138248287136,0.00421213612466488,"Pembangunan IPAL Aerob","scen15.limbah"
"9","combination1.8",0.000747357532036104,2.62149819528032e-05,0.000835290760255335,"Pembangunan Septic Tank Komunal","scen16.limbah"
"10","combination1.9",0.00145669294971196,0.000896825355615095,0.00234116047523416,"Pengadaan Pupuk Organik","scen17.pertanian"
"11","combination1.10",1.55738519596097e-05,-0.000546610296339367,-0.000505979348874943,"Alat Pencacah Pupuk Organik (APPO)","scen18.pertanian"
"12","combination1.11",0.000494007111240098,0.00222789804671176,0.00217267560440128,"Pengelolaan Tanaman Terpadu (PTT)","scen19.pertanian"
"13","combination1.12",0.00254752280741606,0.00600893371557226,0.00844847672895351,"Pembangunan PLTMH Terpusat Off Grid","scen2.energi"
"14","combination1.13",7.4224332753911e-05,0.00378838898771759,0.00376235368457744,"ATCS","scen3.energi"
"15","combination1.14",0.000141613076632487,-2.04107974692323e-05,0.000111796774381523,"Car Free Day","scen4.energi"
"16","combination1.15",0.00280281216775128,0.0160673167355503,0.0187666834302437,"Reformasi Sistem Transit BRT","scen5.energi"
"17","combination1.16",2.54683261498907e-05,0.00020846532026956,0.000223183772689795,"Pelatihan Smart Driving","scen6.energi"
"18","combination1.17",0.000856482183580895,0.462633095208992,0.42726582751402,"Rehabilitasi Hutan dan Lahan","scen7.lahan"
"19","combination1.18",0.000201386383781261,0.18431693130869,0.169822727563294,"Pengembangan Hasil Hutan Non Kayu","scen8.lahan"
"20","combination1.19",6.38028440454381e-05,0.00326685623996851,0.00313101373105445,"Pengembangan Hutan Rakyat","scen9.lahan"
"21","combination2.1",0.0331967090264804,0.683048413951711,0.666319758771775,"combination2.1","combination2.1"
"22","combination2.2",0.0325416132266807,0.404732250051424,0.408929973296196,"combination2.2","combination2.2"
"23","combination2.3",0.0324040296869449,0.223682174982703,0.242271001047999,"combination2.3","combination2.3"
