"","Year","TotalEmission","CummulativeEmission","ResultTotalGDP","CummulativeGDP","EmissionIntensity","CummulativeEmissionIntensity","ID","Category","ScenarioName"
"1",2010,30906225.86,30906225.86,119287583.710719,119287583.710719,0.259090048591727,0.259090048591727,"BAU","BAU","BAU"
"2",2011,31543700.97,62449926.83,125300062.894315,244587646.605035,0.251745292391478,0.510835340983205,"BAU","BAU","BAU"
"3",2012,32322607.31,94772534.14,131722341.138977,376309987.744011,0.245384397441717,0.756219738424922,"BAU","BAU","BAU"
"4",2013,32907618.61,127680152.75,138586489.938575,514896477.682586,0.23745185136434,0.993671589789262,"BAU","BAU","BAU"
"5",2014,33507150.46,161187303.21,145927280.23068,660823757.913266,0.229615397525619,1.22328698731488,"BAU","BAU","BAU"
"6",2015,34115534.39,195302837.6,153782421.156678,814606179.069945,0.221842874714802,1.44512986202968,"BAU","BAU","BAU"
"7",2016,34726931.34,230029768.94,162192820.77805,976798999.847994,0.214108930182067,1.65923879221175,"BAU","BAU","BAU"
"8",2017,35333490.46,265363259.4,171202870.833243,1148001870.68124,0.206383749805317,1.86562254201707,"BAU","BAU","BAU"
"9",2018,35927058.72,301290318.12,180860757.822673,1328862628.50391,0.19864485338066,2.06426739539773,"BAU","BAU","BAU"
"10",2019,36499766.26,337790084.38,191218802.93272,1520081431.43663,0.19087958767759,2.25514698307532,"BAU","BAU","BAU"
"11",2020,37044611.97,374834696.35,202333833.555201,1722415264.99183,0.183086591693986,2.4382335747693,"BAU","BAU","BAU"
"12",2021,37611157.3,412445853.65,214267589.4289,1936682854.42073,0.175533581164782,2.61376715593409,"BAU","BAU","BAU"
"13",2022,38197656.58,450643510.23,227087166.726882,2163770021.14761,0.168207024335903,2.78197418026999,"BAU","BAU","BAU"
"14",2023,38804773.69,489448283.92,240865503.740194,2404635524.88781,0.161105567577897,2.94307974784789,"BAU","BAU","BAU"
"15",2024,39433223.33,528881507.25,255681912.168217,2660317437.05602,0.15422766122015,3.09730740906804,"BAU","BAU","BAU"
"16",2025,40083799.86,568965307.11,271622658.421738,2931940095.47776,0.147571635197545,3.24487904426558,"BAU","BAU","BAU"
"17",2026,40757401.36,609722708.47,288781599.780395,3220721695.25816,0.141135728145402,3.38601477241098,"BAU","BAU","BAU"
"18",2027,41454993.79,651177702.26,307260880.72562,3527982575.98378,0.134917903288244,3.52093267569923,"BAU","BAU","BAU"
"19",2028,42177614.43,693355316.69,327171695.298025,3855154271.2818,0.128915841547906,3.64984851724713,"BAU","BAU","BAU"
"20",2029,42926364.41,736281681.1,348635121.909316,4203789393.19112,0.123126907509811,3.77297542475694,"BAU","BAU","BAU"
"21",2030,43702437.58,779984118.68,371783037.678704,4575572430.86982,0.117548228808028,3.89052365356497,"BAU","BAU","BAU"
"22",2010,30903094.1312723,30903094.1312723,119293901.33952,119293901.33952,0.259050075353975,0.259061595289229,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"23",2011,31543422.1111868,62446516.2424591,125306380.523116,244600281.862636,0.251730374618616,0.510802582471633,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"24",2012,32321862.628584,94768378.871043,131728658.767777,376328940.630413,0.245366975804132,0.756179363896325,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"25",2013,32906407.8921192,127674786.763162,138592807.567375,514921748.197788,0.237432291543139,0.993620628908795,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"26",2014,33505473.5108418,161180260.274004,145933597.859481,660855346.057269,0.22959396603861,1.22322279224738,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"27",2015,34114856.5901355,195295116.86414,153785579.973701,814640926.03097,0.221833910539398,1.44506043936914,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"28",2016,34724457.9695484,230019574.833688,162195979.595073,976836905.626043,0.214089511073204,1.65915334906805,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"29",2017,35330783.7343112,265350358.567999,171206029.650266,1148042935.27631,0.206364132189058,1.86552056445221,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"30",2018,35924118.5734181,301274477.141417,180863916.639696,1328906851.91601,0.198625127890952,2.06414848123053,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"31",2019,36496592.6315498,337771069.772967,191221961.749743,1520128813.66575,0.190859837947452,2.25501083374431,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"32",2020,37041204.8072813,374812274.580248,202336992.372224,1722465806.03797,0.183066894357802,2.43807998743367,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"33",2021,37607516.5557353,412419791.135984,214270748.245923,1936736554.2839,0.175514002091281,2.61359601578952,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"34",2022,38193782.2034216,450613573.339405,227090325.543905,2163826879.8278,0.168187623633651,2.78178545307739,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"35",2023,38800665.6494076,489414238.988813,240868662.557217,2404695542.38502,0.161086399689668,2.94287347282926,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"36",2024,39428881.5827738,528843120.571587,255685070.98524,2660380613.37026,0.154208775001376,3.09708369194877,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"37",2025,40079224.376683,568922344.94827,271625817.238761,2932006430.60902,0.147553074240558,3.24463805070903,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"38",2026,40752592.107697,609674937.055967,288784758.597418,3220791189.20644,0.14111753094459,3.38575672168564,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"39",2027,41449950.7513722,651124887.807339,307264039.542643,3528055228.74908,0.134900103549604,3.52065783471982,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"40",2028,42172337.5726175,693297225.379956,327174854.115048,3855230082.86413,0.128898468333352,3.6495571948236,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"41",2029,42920853.7209472,736218079.100904,348638280.726339,4203868363.59047,0.123109985603209,3.7726679662718,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"42",2030,43696693.0367493,779914772.137653,371786196.495727,4575654560.08619,0.117531778878863,3.89020043587638,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"43",2010,30908168.960913,30908168.960913,119287818.790458,119287818.790458,0.259105827185981,0.259106255866035,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"44",2011,31543671.0618484,62451840.0227614,125300297.974054,244588116.764512,0.251744581392618,0.510851232172616,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"45",2012,32322577.3936771,94774417.4164385,131722576.218715,376310692.983227,0.24538373239837,0.756235329456172,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"46",2013,32907588.7359759,127682006.152414,138586725.018313,514897418.00154,0.237451233021254,0.993686896395969,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"47",2014,33507120.6737177,161189126.826132,145927515.310419,660824933.311959,0.229614823513173,1.22330202494439,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"48",2015,34115504.7322952,195304631.558427,153782656.236417,814607589.548376,0.221842342740185,1.445144645767,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"49",2016,34719561.8474833,230024193.405911,162193055.857788,976800645.406164,0.214063183308696,1.6592080820066,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"50",2017,35321717.1654168,265345910.571327,171203105.912982,1148003751.31915,0.206314698422411,1.86552300988487,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"51",2018,35911762.4525598,301257673.023887,180860992.902411,1328864744.22156,0.198560020467968,2.0640832379057,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"52",2019,36481681.0456744,337739354.069562,191219038.012459,1520083782.23402,0.190784774491426,2.25486819953447,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"53",2020,37024251.6318034,374763605.701365,202334068.634939,1722417850.86896,0.182985751641283,2.43785411931805,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"54",2021,37589035.6582323,412352641.359597,214267824.508638,1936685675.37759,0.175430145634007,2.61328441574909,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"55",2022,38174067.2524926,450526708.61209,227087401.806621,2163773077.18421,0.16810297246256,2.78138752318587,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"56",2023,38780010.2923254,489306718.904415,240865738.819933,2404638816.00415,0.161002600379445,2.9423902441321,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"57",2024,39407579.475671,528714298.380086,255682147.247956,2660320963.2521,0.154127223585362,3.09651757519023,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"58",2025,40057422.3606463,568771720.740733,271622893.501477,2931943856.75358,0.147474396742735,3.24399206752818,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"59",2026,40729703.6679368,609501424.408669,288781717.320264,3220725574.07384,0.141039758492629,3.38503186844195,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"60",2027,41427529.1093944,650928953.518064,307260998.265489,3527986572.33933,0.134828466168032,3.51986037217337,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"61",2028,42149782.9394826,693078736.457546,327171812.837895,3855158385.17723,0.128830728337733,3.64869113369427,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"62",2029,42898239.5123929,735976975.969939,348635239.449186,4203793624.62641,0.123046194584829,3.77173735752072,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"63",2030,43674092.6775395,779651068.647479,371783155.218573,4575576779.84499,0.117471951228837,3.88920933445173,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"64",2010,30906098.2429502,30906098.2429502,119287825.639238,119287825.639238,0.259088453304693,0.259088894473826,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"65",2011,31543712.213762,62449810.4567122,125300304.822834,244588130.462072,0.251744896058814,0.51083419695195,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"66",2012,32322617.7233695,94772428.1800817,131722583.067495,376310713.529568,0.245384025811331,0.756218598278961,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"67",2013,32907628.2593846,127680056.439466,138586731.867094,514897445.396662,0.237451506475695,0.99367044840152,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"68",2014,33507159.4065076,161187215.845974,145927522.159199,660824967.555861,0.229615078161562,1.22328584048517,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"69",2015,34115542.6898603,195302758.535834,153782663.085197,814607630.641058,0.221842579686371,1.44512870635557,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"70",2016,34726939.0449516,230029697.580786,162193062.706569,976800693.347627,0.214108658320226,1.65923762497554,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"71",2017,35333497.6176426,265363195.198429,171203112.761762,1148003806.10939,0.206383499970652,1.86562136108698,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"72",2018,35927065.3741383,301290260.572567,180860999.751192,1328864805.86058,0.198644624455038,2.06426619914169,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"73",2019,36468209.0563355,337758469.628902,191219044.861239,1520083850.72182,0.190714314480543,2.2549807062116,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"74",2020,36994285.6666154,374752755.295518,202334075.48372,1722417926.20554,0.182837644021024,2.43781852327355,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"75",2021,37545253.7300129,412298009.02553,214267831.357419,1936685757.56296,0.175225807309283,2.61304448577316,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"76",2022,38119922.6246019,450417931.650132,227087408.655401,2163773166.21836,0.16786453661307,2.78090916129276,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"77",2023,38716897.9450677,489134829.5952,240865745.668713,2404638911.88707,0.160740572876306,2.94164985824843,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"78",2024,39337673.7503096,528472503.34551,255682154.096736,2660321065.98381,0.153853810756876,3.09550377960917,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"79",2025,39981968.471696,568454471.817206,271622779.385997,2931943845.36981,0.147196669447515,3.24270049824684,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"80",2026,40650434.4487933,609104906.265999,288781720.744655,3220725566.11446,0.140765261540695,3.38346580344457,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"81",2027,41344189.9952268,650449096.261226,307261001.68988,3527986567.80434,0.134557232345925,3.51802307444824,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"82",2028,42063613.2219738,692512709.483199,327171816.262285,3855158384.06662,0.128567349420625,3.64659045801879,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"83",2029,42809799.7532853,735322509.236485,348635242.873576,4203793626.9402,0.122792519196945,3.76938300730927,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"84",2030,43583634.718056,778906143.954541,371783158.642963,4575576785.58316,0.117228641762956,3.88661167552321,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"85",2010,30902330.0975258,30902330.0975258,119292311.404524,119292311.404524,0.259047123269621,0.259055744138959,"combination1.4","Q1","Pembangunan TPA"
"86",2011,31543869.0967424,62446199.1942682,125304790.58812,244597101.992644,0.251737135896327,0.510800821873954,"combination1.4","Q1","Pembangunan TPA"
"87",2012,32322776.4058604,94768975.6001286,131727068.832781,376324170.825425,0.245376874261827,0.756185034099528,"combination1.4","Q1","Pembangunan TPA"
"88",2013,32907788.5153787,127676764.115507,138591217.632379,514915388.457805,0.237444977232745,0.993636726557778,"combination1.4","Q1","Pembangunan TPA"
"89",2014,33507321.0298628,161184085.14537,145932007.924485,660847396.38229,0.229609127609631,1.22325198854912,"combination1.4","Q1","Pembangunan TPA"
"90",2015,34115705.4925936,195299790.637964,153787148.850483,814634545.232773,0.221837167459044,1.44509474836661,"combination1.4","Q1","Pembangunan TPA"
"91",2016,34727102.8556771,230026893.493641,162197548.471854,976832093.704627,0.214103746837476,1.65920358176218,"combination1.4","Q1","Pembangunan TPA"
"92",2017,35333662.280157,265360555.773798,171207598.527048,1148039692.23167,0.206379054341884,1.86558725057482,"combination1.4","Q1","Pembangunan TPA"
"93",2018,35927230.7461298,301287786.519928,180865485.516478,1328905177.74815,0.198640612074417,2.06423203664572,"combination1.4","Q1","Pembangunan TPA"
"94",2019,36499938.4028038,337787724.922731,191223530.626525,1520128708.37468,0.190875768704905,2.25511156878551,"combination1.4","Q1","Pembangunan TPA"
"95",2020,37044784.1486046,374832509.071336,202338561.249006,1722467269.62368,0.183083164770634,2.43819811499447,"combination1.4","Q1","Pembangunan TPA"
"96",2021,37611329.4412314,412443838.512567,214272317.122704,1936739586.74639,0.175530511576505,2.61373165918991,"combination1.4","Q1","Pembangunan TPA"
"97",2022,38197828.6177397,450641667.130307,227091894.420687,2163831481.16707,0.168204280100717,2.78193865370634,"combination1.4","Q1","Pembangunan TPA"
"98",2023,38804945.5645605,489446612.694868,240870231.433999,2404701712.60107,0.16110311902612,2.94304419740857,"combination1.4","Q1","Pembangunan TPA"
"99",2024,39433394.9876067,528880007.682474,255686639.862022,2660388352.46309,0.154225480881154,3.09727183963887,"combination1.4","Q1","Pembangunan TPA"
