"","year","id.sector","sector","Temission","ZA","NPK","SP36","UREA","ORGANIK"
"1",2016,1,"Tanaman Pangan",298473.247416637,11589.3699669378,103324.575885906,32753.4686284572,150776.937618376,28.8953169599545
"2",2016,2,"Tanaman Hortikultura",204113.319299712,10140.6987451138,61994.7456917211,30413.9352373882,101484.477503667,79.4621218217765
"3",2016,3,"Perkebunan",101120.585834372,7243.35625586684,41329.8304976186,14817.0453896611,37694.2345449038,36.1191463214842
"4",2016,4,"Peternakan",0,0,0,0,0,0
"5",2016,5,"Jasa Pertanian dan Perburuan ",0,0,0,0,0,0
"6",2016,6,"Kehutanan dan Penebangan Kayu",0,0,0,0,0,0
"7",2016,7,"Perikanan",0,0,0,0,0,0
"8",2016,8,"Pertambangan Minyak Gas dan Panas Bumi",0,0,0,0,0,0
"9",2016,9,"Pertambangan Bijih Logam",0,0,0,0,0,0
"10",2016,10,"Pertambangan dan Penggalian Lainnya",0,0,0,0,0,0
"11",2016,11,"Industri Batubara dan Pengilangan Migas",0,0,0,0,0,0
"12",2016,12,"Industri Makanan dan Minuman",0,0,0,0,0,0
"13",2016,13,"Pengolahan Tembakau",0,0,0,0,0,0
"14",2016,14,"Industri Tekstil dan Pakaian Jadi",0,0,0,0,0,0
"15",2016,15,"Industri Kulit Barang dari Kulit dan Alas Kaki",0,0,0,0,0,0
"16",2016,16,"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya",0,0,0,0,0,0
"17",2016,17,"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman",0,0,0,0,0,0
"18",2016,18,"Industri Kimia Farmasi dan Obat Tradisional",0,0,0,0,0,0
"19",2016,19,"Industri Karet Barang dari Karet dan Plastik",0,0,0,0,0,0
"20",2016,20,"Industri Barang Galian bukan Logam",0,0,0,0,0,0
"21",2016,21,"Industri Logam Dasar",0,0,0,0,0,0
"22",2016,22,"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik",0,0,0,0,0,0
"23",2016,23,"Industri Mesin dan Perlengkapan YTDL",0,0,0,0,0,0
"24",2016,24,"Industri Alat Angkutan",0,0,0,0,0,0
"25",2016,25,"Industri Furnitur",0,0,0,0,0,0
"26",2016,26,"Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan",0,0,0,0,0,0
"27",2016,27,"Ketenagalistrikan",0,0,0,0,0,0
"28",2016,28,"Pengadaan Gas dan Produksi Es",0,0,0,0,0,0
"29",2016,29,"Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang",0,0,0,0,0,0
"30",2016,30,"Konstruksi",0,0,0,0,0,0
"31",2016,31,"Perdagangan Mobil Sepeda Motor dan Reparasinya",0,0,0,0,0,0
"32",2016,32,"Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor",0,0,0,0,0,0
"33",2016,33,"Angkutan Rel",0,0,0,0,0,0
"34",2016,34,"Angkutan Darat",0,0,0,0,0,0
"35",2016,35,"Angkutan Laut",0,0,0,0,0,0
"36",2016,36,"Angkutan Sungai Danau dan Penyeberangan",0,0,0,0,0,0
"37",2016,37,"Angkutan Udara",0,0,0,0,0,0
"38",2016,38,"Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir",0,0,0,0,0,0
"39",2016,39,"Penyediaan Akomodasi",0,0,0,0,0,0
"40",2016,40,"Penyediaan Makan Minum",0,0,0,0,0,0
"41",2016,41,"Informasi dan Komunikasi",0,0,0,0,0,0
"42",2016,42,"Jasa Perantara Keuangan",0,0,0,0,0,0
"43",2016,43,"Asuransi dan Dana Pensiun",0,0,0,0,0,0
"44",2016,44,"Jasa Keuangan Lainnya",0,0,0,0,0,0
"45",2016,45,"Jasa Penunjang Keuangan",0,0,0,0,0,0
"46",2016,46,"Real Estate",0,0,0,0,0,0
"47",2016,47,"Jasa Perusahaan",0,0,0,0,0,0
"48",2016,48,"Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib",0,0,0,0,0,0
"49",2016,49,"Jasa Pendidikan",0,0,0,0,0,0
"50",2016,50,"Jasa Kesehatan dan Kegiatan Sosial",0,0,0,0,0,0
"51",2016,51,"Jasa lainnya",0,0,0,0,0,0
"52",2016,52,"Lainnya",0,0,0,0,0,0
"53",2017,1,"Tanaman Pangan",313396.909787469,12168.8384652847,108490.804680201,34391.1420598801,158315.784499295,30.3400828079522
"54",2017,2,"Tanaman Hortikultura",214318.985264698,10647.7336823695,65094.4829763072,31934.6319992577,106558.701378851,83.4352279128653
"55",2017,3,"Perkebunan",106176.61512609,7605.52406866018,43396.3220224995,15557.8976591442,39578.946272149,37.9251036375584
"56",2017,4,"Peternakan",0,0,0,0,0,0
"57",2017,5,"Jasa Pertanian dan Perburuan ",0,0,0,0,0,0
"58",2017,6,"Kehutanan dan Penebangan Kayu",0,0,0,0,0,0
"59",2017,7,"Perikanan",0,0,0,0,0,0
"60",2017,8,"Pertambangan Minyak Gas dan Panas Bumi",0,0,0,0,0,0
"61",2017,9,"Pertambangan Bijih Logam",0,0,0,0,0,0
"62",2017,10,"Pertambangan dan Penggalian Lainnya",0,0,0,0,0,0
"63",2017,11,"Industri Batubara dan Pengilangan Migas",0,0,0,0,0,0
"64",2017,12,"Industri Makanan dan Minuman",0,0,0,0,0,0
"65",2017,13,"Pengolahan Tembakau",0,0,0,0,0,0
"66",2017,14,"Industri Tekstil dan Pakaian Jadi",0,0,0,0,0,0
"67",2017,15,"Industri Kulit Barang dari Kulit dan Alas Kaki",0,0,0,0,0,0
"68",2017,16,"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya",0,0,0,0,0,0
"69",2017,17,"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman",0,0,0,0,0,0
"70",2017,18,"Industri Kimia Farmasi dan Obat Tradisional",0,0,0,0,0,0
"71",2017,19,"Industri Karet Barang dari Karet dan Plastik",0,0,0,0,0,0
"72",2017,20,"Industri Barang Galian bukan Logam",0,0,0,0,0,0
"73",2017,21,"Industri Logam Dasar",0,0,0,0,0,0
"74",2017,22,"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik",0,0,0,0,0,0
"75",2017,23,"Industri Mesin dan Perlengkapan YTDL",0,0,0,0,0,0
"76",2017,24,"Industri Alat Angkutan",0,0,0,0,0,0
"77",2017,25,"Industri Furnitur",0,0,0,0,0,0
"78",2017,26,"Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan",0,0,0,0,0,0
"79",2017,27,"Ketenagalistrikan",0,0,0,0,0,0
"80",2017,28,"Pengadaan Gas dan Produksi Es",0,0,0,0,0,0
"81",2017,29,"Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang",0,0,0,0,0,0
"82",2017,30,"Konstruksi",0,0,0,0,0,0
"83",2017,31,"Perdagangan Mobil Sepeda Motor dan Reparasinya",0,0,0,0,0,0
"84",2017,32,"Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor",0,0,0,0,0,0
"85",2017,33,"Angkutan Rel",0,0,0,0,0,0
"86",2017,34,"Angkutan Darat",0,0,0,0,0,0
"87",2017,35,"Angkutan Laut",0,0,0,0,0,0
"88",2017,36,"Angkutan Sungai Danau dan Penyeberangan",0,0,0,0,0,0
"89",2017,37,"Angkutan Udara",0,0,0,0,0,0
"90",2017,38,"Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir",0,0,0,0,0,0
"91",2017,39,"Penyediaan Akomodasi",0,0,0,0,0,0
"92",2017,40,"Penyediaan Makan Minum",0,0,0,0,0,0
"93",2017,41,"Informasi dan Komunikasi",0,0,0,0,0,0
"94",2017,42,"Jasa Perantara Keuangan",0,0,0,0,0,0
"95",2017,43,"Asuransi dan Dana Pensiun",0,0,0,0,0,0
"96",2017,44,"Jasa Keuangan Lainnya",0,0,0,0,0,0
"97",2017,45,"Jasa Penunjang Keuangan",0,0,0,0,0,0
"98",2017,46,"Real Estate",0,0,0,0,0,0
"99",2017,47,"Jasa Perusahaan",0,0,0,0,0,0
"100",2017,48,"Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib",0,0,0,0,0,0
"101",2017,49,"Jasa Pendidikan",0,0,0,0,0,0
"102",2017,50,"Jasa Kesehatan dan Kegiatan Sosial",0,0,0,0,0,0
"103",2017,51,"Jasa lainnya",0,0,0,0,0,0
"104",2017,52,"Lainnya",0,0,0,0,0,0
"105",2018,1,"Tanaman Pangan",329066.755276842,12777.280388549,113915.344914211,36110.6991628741,166231.57372426,31.8570869483498
"106",2018,2,"Tanaman Hortikultura",225034.934527933,11180.120366488,68349.2071251225,33531.3635992205,111886.636447793,87.6069893085086
"107",2018,3,"Perkebunan",111485.445882395,7985.80027209319,45566.1381236245,16335.7925421014,41557.8935857564,39.8213588194363
"108",2018,4,"Peternakan",0,0,0,0,0,0
"109",2018,5,"Jasa Pertanian dan Perburuan ",0,0,0,0,0,0
"110",2018,6,"Kehutanan dan Penebangan Kayu",0,0,0,0,0,0
"111",2018,7,"Perikanan",0,0,0,0,0,0
"112",2018,8,"Pertambangan Minyak Gas dan Panas Bumi",0,0,0,0,0,0
"113",2018,9,"Pertambangan Bijih Logam",0,0,0,0,0,0
"114",2018,10,"Pertambangan dan Penggalian Lainnya",0,0,0,0,0,0
"115",2018,11,"Industri Batubara dan Pengilangan Migas",0,0,0,0,0,0
"116",2018,12,"Industri Makanan dan Minuman",0,0,0,0,0,0
"117",2018,13,"Pengolahan Tembakau",0,0,0,0,0,0
"118",2018,14,"Industri Tekstil dan Pakaian Jadi",0,0,0,0,0,0
"119",2018,15,"Industri Kulit Barang dari Kulit dan Alas Kaki",0,0,0,0,0,0
"120",2018,16,"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya",0,0,0,0,0,0
"121",2018,17,"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman",0,0,0,0,0,0
"122",2018,18,"Industri Kimia Farmasi dan Obat Tradisional",0,0,0,0,0,0
"123",2018,19,"Industri Karet Barang dari Karet dan Plastik",0,0,0,0,0,0
"124",2018,20,"Industri Barang Galian bukan Logam",0,0,0,0,0,0
"125",2018,21,"Industri Logam Dasar",0,0,0,0,0,0
"126",2018,22,"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik",0,0,0,0,0,0
"127",2018,23,"Industri Mesin dan Perlengkapan YTDL",0,0,0,0,0,0
"128",2018,24,"Industri Alat Angkutan",0,0,0,0,0,0
"129",2018,25,"Industri Furnitur",0,0,0,0,0,0
"130",2018,26,"Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan",0,0,0,0,0,0
"131",2018,27,"Ketenagalistrikan",0,0,0,0,0,0
"132",2018,28,"Pengadaan Gas dan Produksi Es",0,0,0,0,0,0
"133",2018,29,"Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang",0,0,0,0,0,0
"134",2018,30,"Konstruksi",0,0,0,0,0,0
"135",2018,31,"Perdagangan Mobil Sepeda Motor dan Reparasinya",0,0,0,0,0,0
"136",2018,32,"Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor",0,0,0,0,0,0
"137",2018,33,"Angkutan Rel",0,0,0,0,0,0
"138",2018,34,"Angkutan Darat",0,0,0,0,0,0
"139",2018,35,"Angkutan Laut",0,0,0,0,0,0
"140",2018,36,"Angkutan Sungai Danau dan Penyeberangan",0,0,0,0,0,0
"141",2018,37,"Angkutan Udara",0,0,0,0,0,0
"142",2018,38,"Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir",0,0,0,0,0,0
"143",2018,39,"Penyediaan Akomodasi",0,0,0,0,0,0
"144",2018,40,"Penyediaan Makan Minum",0,0,0,0,0,0
"145",2018,41,"Informasi dan Komunikasi",0,0,0,0,0,0
"146",2018,42,"Jasa Perantara Keuangan",0,0,0,0,0,0
"147",2018,43,"Asuransi dan Dana Pensiun",0,0,0,0,0,0
"148",2018,44,"Jasa Keuangan Lainnya",0,0,0,0,0,0
"149",2018,45,"Jasa Penunjang Keuangan",0,0,0,0,0,0
"150",2018,46,"Real Estate",0,0,0,0,0,0
"151",2018,47,"Jasa Perusahaan",0,0,0,0,0,0
"152",2018,48,"Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib",0,0,0,0,0,0
"153",2018,49,"Jasa Pendidikan",0,0,0,0,0,0
"154",2018,50,"Jasa Kesehatan dan Kegiatan Sosial",0,0,0,0,0,0
"155",2018,51,"Jasa lainnya",0,0,0,0,0,0
"156",2018,52,"Lainnya",0,0,0,0,0,0
"157",2019,1,"Tanaman Pangan",345520.093040685,13416.1444079764,119611.112159922,37916.2341210178,174543.152410473,33.4499412957673
"158",2019,2,"Tanaman Hortikultura",236286.68125433,11739.1263848124,71766.6674813787,35207.9317791816,117480.968270183,91.987338773934
"159",2019,3,"Perkebunan",117059.718176515,8385.09028569785,47844.4450298057,17152.5821692065,43635.7882650442,41.8124267604082
"160",2019,4,"Peternakan",0,0,0,0,0,0
"161",2019,5,"Jasa Pertanian dan Perburuan ",0,0,0,0,0,0
"162",2019,6,"Kehutanan dan Penebangan Kayu",0,0,0,0,0,0
"163",2019,7,"Perikanan",0,0,0,0,0,0
"164",2019,8,"Pertambangan Minyak Gas dan Panas Bumi",0,0,0,0,0,0
"165",2019,9,"Pertambangan Bijih Logam",0,0,0,0,0,0
"166",2019,10,"Pertambangan dan Penggalian Lainnya",0,0,0,0,0,0
"167",2019,11,"Industri Batubara dan Pengilangan Migas",0,0,0,0,0,0
"168",2019,12,"Industri Makanan dan Minuman",0,0,0,0,0,0
"169",2019,13,"Pengolahan Tembakau",0,0,0,0,0,0
"170",2019,14,"Industri Tekstil dan Pakaian Jadi",0,0,0,0,0,0
