"","year","sector","income"
"2",2016,"Tanaman Pangan",27426191.6738616
"3",2016,"Tanaman Hortikultura",9498539.92861911
"4",2016,"Perkebunan",4276842.78656985
"5",2016,"Peternakan",6876985.08189088
"6",2016,"Jasa Pertanian dan Perburuan ",786910.862482334
"7",2016,"Kehutanan dan Penebangan Kayu",308118.604235237
"8",2016,"Perikanan",6046841.83451861
"9",2016,"Pertambangan Minyak Gas dan Panas Bumi",8360531.66248962
"10",2016,"Pertambangan Bijih Logam",191243.013813778
"11",2016,"Pertambangan dan Penggalian Lainnya",2733537.77327098
"12",2016,"Industri Batubara dan Pengilangan Migas",8920150.46962818
"13",2016,"Industri Makanan dan Minuman",25524503.327971
"14",2016,"Pengolahan Tembakau",1259491.60208219
"15",2016,"Industri Tekstil dan Pakaian Jadi",41673496.6299867
"16",2016,"Industri Kulit Barang dari Kulit dan Alas Kaki",3690583.69246256
"17",2016,"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya",2094329.57805571
"18",2016,"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman",6734489.79876664
"19",2016,"Industri Kimia Farmasi dan Obat Tradisional",15388703.9117726
"20",2016,"Industri Karet Barang dari Karet dan Plastik",7940729.89594986
"21",2016,"Industri Barang Galian bukan Logam",4766765.00742239
"22",2016,"Industri Logam Dasar",8031314.34375183
"23",2016,"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik",36130732.6768366
"24",2016,"Industri Mesin dan Perlengkapan YTDL",27932893.1811132
"25",2016,"Industri Alat Angkutan",61334706.7775192
"26",2016,"Industri Furnitur",1052590.66088372
"27",2016,"Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan",2237804.1067389
"28",2016,"Ketenagalistrikan",1036551.3919657
"29",2016,"Pengadaan Gas dan Produksi Es",3833165.46864231
"30",2016,"Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang",501514.62172464
"31",2016,"Konstruksi",54772414.2936761
"32",2016,"Perdagangan Mobil Sepeda Motor dan Reparasinya",9974291.7440145
"33",2016,"Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor",87040428.9319702
"34",2016,"Angkutan Rel",409725.43507464
"35",2016,"Angkutan Darat",26824565.6752555
"36",2016,"Angkutan Laut",84636.5160693682
"37",2016,"Angkutan Sungai Danau dan Penyeberangan",365.813371809946
"38",2016,"Angkutan Udara",4092021.58238315
"39",2016,"Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir",1309655.15682415
"40",2016,"Penyediaan Akomodasi",2672912.13907149
"41",2016,"Penyediaan Makan Minum",12972934.0448388
