"","year","id.land.use","land.use","Hutan.lahan.kering.primer","Hutan.lahan.kering.sekunder...bekas.tebangan","Hutan.rawa.primer","Hutan.rawa.sekunder","Hutan.mangrove.primer","Hutan.mangrove.sekunder","Hutan.tanaman","Perkebunan","Semak.belukar","Semak.belukar.rawa","Savanna...Padang.rumput","Pertanian.lahan.kering","Pertanian.lahan.kering..campur.semak...kebun.campur","Sawah","Tambak","Pemukiman","Transmigrasi","Lahan.terbuka","Pertambangan","Tubuh.air","Rawa","Awan","Bandara"
"1",2016,"1","Hutan.lahan.kering.primer",13579.2170928386,0,0,0,0,0,0,0,0,0,0,0,336.782907161569,0,0,0,0,0,0,0,0,0,0
"2",2016,"2","Hutan.lahan.kering.sekunder...bekas.tebangan",0,131479.178409462,0,0,0,0,0,0,0,0,0,20597.6675495938,14946.1540409438,0,0,0,0,0,0,0,0,0,0
"3",2016,"3","Hutan.rawa.primer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2016,"4","Hutan.rawa.sekunder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2016,"5","Hutan.mangrove.primer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2016,"6","Hutan.mangrove.sekunder",0,0,0,0,0,1089.1338478724,0,0,0,0,0,0,0,0,0,41.8661521277791,0,0,0,0,0,0,0
"7",2016,"7","Hutan.tanaman",0,0,0,0,0,0,368180.373200422,0,0,0,0,33818.8316153507,28059.7186353949,33382.0765488317,0,0,0,0,0,0,0,0,0
"8",2016,"8","Perkebunan",0,0,0,0,0,0,0,137227.983699141,0,0,0,12556.9315211254,8415.08983484469,13336.9949448894,0,0,0,0,0,0,0,0,0
"9",2016,"9","Semak.belukar",0,0,0,0,0,0,0,711.308492994236,2765.6915070059,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2016,"10","Semak.belukar.rawa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",2016,"11","Savanna...Padang.rumput",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",2016,"12","Pertanian.lahan.kering",0,0,0,0,0,0,53552.6626849556,0,0,0,0,704017.670208431,46321.5314347004,51246.4024665023,8583.1805969258,14708.5714241547,0,0,0,1840.63118411911,0,0,31.3500002104411
"13",2016,"13","Pertanian.lahan.kering..campur.semak...kebun.campur",0,31534.1283629444,0,0,0,0,2727.41733886368,0,0,0,0,50565.866373915,593410.97828571,48955.8551688448,0,14655.7544697229,0,0,0,0,0,0,0
"14",2016,"14","Sawah",0,0,0,0,0,0,19723.3328011616,22040.0739747822,621.758972751362,0,0,55487.7913185522,50292.0356219127,697587.199999999,2261.85866383919,18460.4245383024,0,1978.85067332802,344.987987616441,3185.68544775499,0,0,0
"15",2016,"15","Tambak",0,0,0,0,0,0,0,0,0,0,0,0,0,14273.2000000002,57092.8,0,0,0,0,0,0,0,0
"16",2016,"16","Pemukiman",0,0,0,0,0,0,7130.65158351982,0,0,0,0,21180.5054088797,15657.3262091668,18272.7179663886,0,248956.798832045,0,0,0,0,0,0,0
"17",2016,"17","Transmigrasi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",2016,"18","Lahan.terbuka",0,0,0,0,0,0,2312.59999999998,0,0,0,0,0,0,0,0,0,0,9250.39999999992,0,0,0,0,0
