"","Year","emissionEnergyCons","emissionWasteDisp","emissionFert","emissionLand","TotalEmission","CummulativeEmission"
"1",2016,38353801.4243461,325306.206582547,603707.152550721,3142507.77401825,42425322.5574977,42425322.5574977
"2",2017,40271491.4955634,341571.516911675,633892.510178257,3383086.15883658,44630041.6814899,87055364.2389876
"3",2018,42285066.0703416,358650.092757258,665587.13568717,3598304.4975557,46907607.7963417,133962972.035329
"4",2019,44399319.3738587,376582.597395121,698866.492471529,3796351.81591207,49271120.2796374,183234092.314967
"5",2020,46619285.3425516,395411.727264877,733809.817095105,3983345.68064583,51731852.5675574,234965944.882524
"6",2021,48950249.6096792,415182.313628121,770500.30794986,4164043.01444392,54299975.2457011,289265920.128225
"7",2022,51397762.0901632,435941.429309527,809025.323347353,4342318.37534438,56985047.2181644,346250967.34639
"8",2023,53967650.1946713,457738.500775004,849476.589514721,4521498.14936091,59796363.434322,406047330.780712
"9",2024,56666032.7044049,480625.425813754,891950.418990457,4704606.49676949,62743215.0459786,468790545.82669
"10",2025,59499334.3396251,504656.697104442,936547.93993998,4894559.25153113,65835098.2282007,534625644.054891
"11",2026,62474301.0566064,529889.531959664,983375.336936979,5094330.16626674,69081896.0917698,603707540.146661
"12",2027,65598016.1094367,556384.008557647,1032544.10378383,5307106.93685719,72494051.1586354,676201591.305296
"13",2028,68877916.9149086,584203.208985529,1084171.30897302,5536450.55438296,76082741.9872501,752284333.292546
"14",2029,72321812.760654,613413.369434806,1138379.87442167,5786469.66820095,79860075.6727114,832144408.965258
"15",2030,75937903.3986867,644084.037906546,1195298.86814275,6062021.19590985,83839307.5006459,915983716.465904
