"","year","id.sector","sector","Tconsumption","ZA","NPK","SP36","UREA","ORGANIK"
"1",2016,1,"Tanaman Pangan",1149999.07984563,52679.2655512078,224619.96997347,109178.873638881,753889.141023298,9631.82921147266
"2",2016,2,"Tanaman Hortikultura",816154.894581825,46094.0895871719,134771.199098885,101379.793762682,507422.435758373,26487.3764587149
"3",2016,3,"Perkebunan",374275.128899433,33065.9029354322,90233.7515341098,49602.5013885293,189281.493595657,12091.4794984298
"4",2016,4,"Peternakan",0,0,0,0,0,0
"5",2016,5,"Jasa Pertanian dan Perburuan ",0,0,0,0,0,0
"6",2016,6,"Kehutanan dan Penebangan Kayu",0,0,0,0,0,0
"7",2016,7,"Perikanan",0,0,0,0,0,0
"8",2016,8,"Pertambangan Minyak Gas dan Panas Bumi",0,0,0,0,0,0
"9",2016,9,"Pertambangan Bijih Logam",0,0,0,0,0,0
"10",2016,10,"Pertambangan dan Penggalian Lainnya",0,0,0,0,0,0
"11",2016,11,"Industri Batubara dan Pengilangan Migas",0,0,0,0,0,0
"12",2016,12,"Industri Makanan dan Minuman",0,0,0,0,0,0
"13",2016,13,"Pengolahan Tembakau",0,0,0,0,0,0
"14",2016,14,"Industri Tekstil dan Pakaian Jadi",0,0,0,0,0,0
"15",2016,15,"Industri Kulit Barang dari Kulit dan Alas Kaki",0,0,0,0,0,0
"16",2016,16,"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya",0,0,0,0,0,0
"17",2016,17,"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman",0,0,0,0,0,0
"18",2016,18,"Industri Kimia Farmasi dan Obat Tradisional",0,0,0,0,0,0
"19",2016,19,"Industri Karet Barang dari Karet dan Plastik",0,0,0,0,0,0
"20",2016,20,"Industri Barang Galian bukan Logam",0,0,0,0,0,0
"21",2016,21,"Industri Logam Dasar",0,0,0,0,0,0
"22",2016,22,"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik",0,0,0,0,0,0
"23",2016,23,"Industri Mesin dan Perlengkapan YTDL",0,0,0,0,0,0
"24",2016,24,"Industri Alat Angkutan",0,0,0,0,0,0
"25",2016,25,"Industri Furnitur",0,0,0,0,0,0
"26",2016,26,"Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan",0,0,0,0,0,0
"27",2016,27,"Ketenagalistrikan",0,0,0,0,0,0
"28",2016,28,"Pengadaan Gas dan Produksi Es",0,0,0,0,0,0
"29",2016,29,"Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang",0,0,0,0,0,0
"30",2016,30,"Konstruksi",0,0,0,0,0,0
"31",2016,31,"Perdagangan Mobil Sepeda Motor dan Reparasinya",0,0,0,0,0,0
