"","year","id.sector","sector","Temission","ZA","NPK","SP36","UREA","ORGANIK"
"1",2016,1,"Tanaman Pangan",298475.01039302,11589.4384212657,103325.186187796,32753.6620916643,150777.82820466,28.895487634418
"2",2016,2,"Tanaman Hortikultura",204113.33870452,10140.6997091778,61994.751585487,30413.9381288045,101484.487151675,79.4621293761447
"3",2016,3,"Perkebunan",101555.347925671,7274.49864579509,41507.5257056905,14880.7504165588,37856.2987191315,36.2744384952894
"4",2016,4,"Peternakan",0,0,0,0,0,0
"5",2016,5,"Jasa Pertanian dan Perburuan ",0,0,0,0,0,0
"6",2016,6,"Kehutanan dan Penebangan Kayu",0,0,0,0,0,0
"7",2016,7,"Perikanan",0,0,0,0,0,0
"8",2016,8,"Pertambangan Minyak Gas dan Panas Bumi",0,0,0,0,0,0
"9",2016,9,"Pertambangan Bijih Logam",0,0,0,0,0,0
"10",2016,10,"Pertambangan dan Penggalian Lainnya",0,0,0,0,0,0
"11",2016,11,"Industri Batubara dan Pengilangan Migas",0,0,0,0,0,0
"12",2016,12,"Industri Makanan dan Minuman",0,0,0,0,0,0
"13",2016,13,"Pengolahan Tembakau",0,0,0,0,0,0
"14",2016,14,"Industri Tekstil dan Pakaian Jadi",0,0,0,0,0,0
"15",2016,15,"Industri Kulit Barang dari Kulit dan Alas Kaki",0,0,0,0,0,0
"16",2016,16,"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya",0,0,0,0,0,0
"17",2016,17,"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman",0,0,0,0,0,0
"18",2016,18,"Industri Kimia Farmasi dan Obat Tradisional",0,0,0,0,0,0
"19",2016,19,"Industri Karet Barang dari Karet dan Plastik",0,0,0,0,0,0
"20",2016,20,"Industri Barang Galian bukan Logam",0,0,0,0,0,0
"21",2016,21,"Industri Logam Dasar",0,0,0,0,0,0
"22",2016,22,"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik",0,0,0,0,0,0
