"","year","sector","income"
"2",2016,"Tanaman Pangan",27426353.6707193
"3",2016,"Tanaman Hortikultura",9498540.83163387
"4",2016,"Perkebunan",4295230.82396802
"5",2016,"Peternakan",6876999.97887111
"6",2016,"Jasa Pertanian dan Perburuan ",787379.591595722
"7",2016,"Kehutanan dan Penebangan Kayu",309041.809454466
"8",2016,"Perikanan",6046854.32711635
"9",2016,"Pertambangan Minyak Gas dan Panas Bumi",8360540.00537964
"10",2016,"Pertambangan Bijih Logam",191243.409833473
"11",2016,"Pertambangan dan Penggalian Lainnya",2733539.57657427
"12",2016,"Industri Batubara dan Pengilangan Migas",8920218.71899868
"13",2016,"Industri Makanan dan Minuman",25524584.1478785
"14",2016,"Pengolahan Tembakau",1259492.25379485
"15",2016,"Industri Tekstil dan Pakaian Jadi",41673516.0134793
"16",2016,"Industri Kulit Barang dari Kulit dan Alas Kaki",3690584.96148245
"17",2016,"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya",2094331.23599795
"18",2016,"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman",6734500.43255629
"19",2016,"Industri Kimia Farmasi dan Obat Tradisional",15388780.082278
"20",2016,"Industri Karet Barang dari Karet dan Plastik",7940762.1661652
"21",2016,"Industri Barang Galian bukan Logam",4766769.0300301
"22",2016,"Industri Logam Dasar",8031316.24926152
"23",2016,"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik",36130747.1029218
"24",2016,"Industri Mesin dan Perlengkapan YTDL",27932930.0415513
"25",2016,"Industri Alat Angkutan",61334812.2532582
"26",2016,"Industri Furnitur",1052591.11792151
"27",2016,"Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan",2237816.81177315
"28",2016,"Ketenagalistrikan",1036551.5075677
"29",2016,"Pengadaan Gas dan Produksi Es",3833166.96979569
"30",2016,"Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang",501515.679400361
"31",2016,"Konstruksi",54772426.4303833
"32",2016,"Perdagangan Mobil Sepeda Motor dan Reparasinya",9974703.22747401
"33",2016,"Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor",87040649.3117827
"34",2016,"Angkutan Rel",409726.009727157
"35",2016,"Angkutan Darat",26824598.6265987
"36",2016,"Angkutan Laut",84636.8095898929
"37",2016,"Angkutan Sungai Danau dan Penyeberangan",365.899102914176
"38",2016,"Angkutan Udara",4092026.06080586
"39",2016,"Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir",1309670.37365389
"40",2016,"Penyediaan Akomodasi",2672915.11806288
"41",2016,"Penyediaan Makan Minum",12972938.467807
"42",2016,"Informasi dan Komunikasi",16372734.6933061
"43",2016,"Jasa Perantara Keuangan",12303184.2385284
"44",2016,"Asuransi dan Dana Pensiun",1385044.1079645
"45",2016,"Jasa Keuangan Lainnya",1948335.62491733
"46",2016,"Jasa Penunjang Keuangan",162982.590872351
"47",2016,"Real Estate",4654080.29341437
"48",2016,"Jasa Perusahaan",1965538.80335645
"49",2016,"Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib",32348258.1855714
"50",2016,"Jasa Pendidikan",17096572.7050734
"51",2016,"Jasa Kesehatan dan Kegiatan Sosial",3774498.61172521
"52",2016,"Jasa lainnya",11906766.0096006
"53",2016,"Lainnya",5664.32193689967
"54",2017,"Tanaman Pangan",28797663.2544124
"55",2017,"Tanaman Hortikultura",9973467.82806483
"56",2017,"Perkebunan",4509072.96329651
"57",2017,"Peternakan",7220849.23296566
"58",2017,"Jasa Pertanian dan Perburuan ",826725.134719839
"59",2017,"Kehutanan dan Penebangan Kayu",324447.739666228
"60",2017,"Perikanan",6349196.41884228
"61",2017,"Pertambangan Minyak Gas dan Panas Bumi",8778566.58850412
"62",2017,"Pertambangan Bijih Logam",200805.560524162
"63",2017,"Pertambangan dan Penggalian Lainnya",2870216.46523782
"64",2017,"Industri Batubara dan Pengilangan Migas",9366226.24248009
"65",2017,"Industri Makanan dan Minuman",26800809.3142771
"66",2017,"Pengolahan Tembakau",1322466.83389896
"67",2017,"Industri Tekstil dan Pakaian Jadi",43757190.8449787
"68",2017,"Industri Kulit Barang dari Kulit dan Alas Kaki",3875114.14610557
"69",2017,"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya",2199047.71490073
"70",2017,"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman",7071224.92249462
"71",2017,"Industri Kimia Farmasi dan Obat Tradisional",16158215.2778666
"72",2017,"Industri Karet Barang dari Karet dan Plastik",8337798.66096269
"73",2017,"Industri Barang Galian bukan Logam",5005107.28040121
"74",2017,"Industri Logam Dasar",8432881.96644912
"75",2017,"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik",37937283.7367636
"76",2017,"Industri Mesin dan Perlengkapan YTDL",29329574.7006069
"77",2017,"Industri Alat Angkutan",64401547.5921341
"78",2017,"Industri Furnitur",1105220.6509657
"79",2017,"Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan",2349707.0171101
