"","year","id.land.use","land.use","Hutan.lahan.kering.primer","Hutan.lahan.kering.sekunder...bekas.tebangan","Hutan.rawa.primer","Hutan.rawa.sekunder","Hutan.mangrove.primer","Hutan.mangrove.sekunder","Hutan.tanaman","Perkebunan","Semak.belukar","Semak.belukar.rawa","Savanna...Padang.rumput","Pertanian.lahan.kering","Pertanian.lahan.kering..campur.semak...kebun.campur","Sawah","Tambak","Pemukiman","Transmigrasi","Lahan.terbuka","Pertambangan","Tubuh.air","Rawa","Awan","Bandara"
"Hutan.lahan.kering.primer",2016,"1","Hutan.lahan.kering.primer",13558.5983768514,0,0,0,0,0,0,0,357.401623148624,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hutan.lahan.kering.sekunder...bekas.tebangan",2016,"2","Hutan.lahan.kering.sekunder...bekas.tebangan",0,131479.178409462,0,0,0,0,0,0,0,0,0,20430.4264997847,15113.3950907529,0,0,0,0,0,0,0,0,0,0
"Hutan.rawa.primer",2016,"3","Hutan.rawa.primer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hutan.rawa.sekunder",2016,"4","Hutan.rawa.sekunder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hutan.mangrove.primer",2016,"5","Hutan.mangrove.primer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hutan.mangrove.sekunder",2016,"6","Hutan.mangrove.sekunder",0,0,0,0,0,683.130040053336,0,0,0,0,0,0,0,0,0,447.869959946592,0,0,0,0,0,0,0
"Hutan.tanaman",2016,"7","Hutan.tanaman",0,0,0,0,0,0,368180.373200422,0,0,0,0,34348.2279819713,28063.8282551934,32848.5705624132,0,0,0,0,0,0,0,0,0
"Perkebunan",2016,"8","Perkebunan",0,0,0,0,0,0,0,137227.98369914,0,0,0,13616.8840923685,7509.32015268916,13182.8120558017,0,0,0,0,0,0,0,0,0
"Semak.belukar",2016,"9","Semak.belukar",0,99.0000000000032,0,0,0,0,0,0,2765.69150700593,0,0,0,612.308492994152,0,0,0,0,0,0,0,0,0,0
"Semak.belukar.rawa",2016,"10","Semak.belukar.rawa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Savanna...Padang.rumput",2016,"11","Savanna...Padang.rumput",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pertanian.lahan.kering",2016,"12","Pertanian.lahan.kering",0,0,0,0,0,0,21519.3137050651,18477.0881932791,260.069142712033,0,0,704017.67020843,51161.9721330995,55155.3664428951,8372.53386736132,17130.970285496,0,1113.1050476063,344.99180196588,2717.56877159218,0,0,31.350400497322
"Pertanian.lahan.kering..campur.semak...kebun.campur",2016,"13","Pertanian.lahan.kering..campur.semak...kebun.campur",0,31196.0115858732,0,0,0,0,3611.07825054864,0,0,0,0,51880.6335767887,593410.978285711,49788.2165656004,0,11963.0817354782,0,0,0,0,0,0,0
"Sawah",2016,"14","Sawah",0,0,0,0,0,0,34464.8915342472,8842.80831846319,0,0,0,56891.2917470493,50867.7248801205,697587.199999999,2410.17969905496,17818.6483725492,0,842.231626395704,0,2259.02382212023,0,0,0
"Tambak",2016,"15","Tambak",0,0,0,0,0,0,0,0,0,0,0,0,0,14273.1999999998,57092.8,0,0,0,0,0,0,0,0
"Pemukiman",2016,"16","Pemukiman",0,0,0,0,0,0,26128.7883558199,0,0,0,0,14914.9601163687,8566.04713510441,12631.4055606613,0,248956.798832046,0,0,0,0,0,0,0
"Transmigrasi",2016,"17","Transmigrasi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lahan.terbuka",2016,"18","Lahan.terbuka",0,0,0,0,0,0,0,0,0,0,0,0,2312.60000000024,0,0,0,0,9250.40000000002,0,0,0,0,0
