"","year","id.sector","sector","labour"
"2",2016,1,"Tanaman Pangan",57816.4913812975
"3",2016,2,"Tanaman Hortikultura",40981.5039116765
"4",2016,3,"Perkebunan",43665.3329250535
"5",2016,4,"Peternakan",188985.709433435
"6",2016,5,"Jasa Pertanian, dan Perburuan",0
"7",2016,6,"Kehutanan dan Penebangan Kayu",715.086162679791
"8",2016,7,"Perikanan",55636.4648006231
"9",2016,8,"Pertambangan Minyak, Gas dan Panas Bumi",82432.4323322541
"10",2016,9,"Pertambangan Bijih Logam",3277.05685135777
"11",2016,10,"Pertambangan dan Penggalian Lainnya",23881.2158265848
"12",2016,11,"Industri Batubara dan Pengilangan Migas",1483349.49917441
"13",2016,12,"Industri Makanan dan Minuman",631295.598608782
"14",2016,13,"Pengolahan Tembakau",18699.4598552453
"15",2016,14,"Industri Tekstil dan Pakaian Jadi",1182417.1002579
"16",2016,15,"Industri Kulit, Barang dari Kulit dan Alas Kaki",149303.751842767
"17",2016,16,"Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya",232199.283601109
"18",2016,17,"Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman",253775.951043087
"19",2016,18,"Industri Kimia, Farmasi dan Obat Tradisional",945607.379700644
"20",2016,19,"Industri Karet, Barang dari Karet dan Plastik",323175.563381735
"21",2016,20,"Industri Barang Galian bukan Logam",125717.656023337
"22",2016,21,"Industri Logam Dasar",226991.153961949
"23",2016,22,"Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik",7682359.56669748
"24",2016,23,"Industri Mesin dan Perlengkapan YTDL",1563385.91367408
"25",2016,24,"Industri Alat Angkutan",1293532.92566499
"26",2016,25,"Industri Furnitur",69133.0797474094
"27",2016,26,"Industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan",128189.978174851
"28",2016,27,"Ketenagalistrikan",300349.384066214
"29",2016,28,"Pengadaan Gas dan Produksi Es",7636.65294813302
"30",2016,29,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",16395.783653635
"31",2016,30,"Konstruksi",1326615.44368282
"32",2016,31,"Perdagangan Mobil, Sepeda Motor dan Reparasinya",95276.7301265844
"33",2016,32,"Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",1028904.95512657
"34",2016,33,"Angkutan Rel",49670.3196731009
"35",2016,34,"Angkutan Darat",758258.431593391
"36",2016,35,"Angkutan Laut",7579.97683093158
"37",2016,36,"Angkutan Sungai Danau dan Penyeberangan",7.35158932376358
"38",2016,37,"Angkutan Udara",130450.043162778
"39",2016,38,"Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir",9305.20830616439
"40",2016,39,"Penyediaan Akomodasi",24846.177775645
"41",2016,40,"Penyediaan Makan Minum",285257.796811915
"42",2016,41,"Informasi dan Komunikasi",83615.7303525274
"43",2016,42,"Jasa Perantara Keuangan",56785.1927736365
"44",2016,43,"Asuransi dan Dana Pensiun",5890.54432850482
"45",2016,44,"Jasa Keuangan Lainnya",6221.38558214208
