"","year","id.land.use","land.use","luas.land.use"
"1",2016,"1","Hutan.lahan.kering.primer",13558.5983768515
"2",2016,"2","Hutan.lahan.kering.sekunder...bekas.tebangan",162774.189995336
"3",2016,"3","Hutan.rawa.primer",0
"4",2016,"4","Hutan.rawa.sekunder",0
"5",2016,"5","Hutan.mangrove.primer",0
"6",2016,"6","Hutan.mangrove.sekunder",1088.58321141527
"7",2016,"7","Hutan.tanaman",453904.445046103
"8",2016,"8","Perkebunan",164547.880210882
"9",2016,"9","Semak.belukar",3383.16227286722
"10",2016,"10","Semak.belukar.rawa",0
"11",2016,"11","Savanna...Padang.rumput",0
"12",2016,"12","Pertanian.lahan.kering",900145.515672409
"13",2016,"13","Pertanian.lahan.kering..campur.semak...kebun.campur",757618.174425664
"14",2016,"14","Sawah",877547.14540575
"15",2016,"15","Tambak",67875.5135664164
"16",2016,"16","Pemukiman",296317.369185516
"17",2016,"17","Transmigrasi",0
"18",2016,"18","Lahan.terbuka",11205.7366740014
"19",2016,"19","Pertambangan",1675.39180196585
"20",2016,"20","Tubuh.air",29434.1925937125
"21",2016,"21","Rawa",20.3511606117814
"22",2016,"22","Awan",0
"23",2016,"23","Bandara",365.750400497305
"24",2017,"1","Hutan.lahan.kering.primer",13164.3642016452
"25",2017,"2","Hutan.lahan.kering.sekunder...bekas.tebangan",158082.909756117
"26",2017,"3","Hutan.rawa.primer",0
"27",2017,"4","Hutan.rawa.sekunder",0
"28",2017,"5","Hutan.mangrove.primer",0
"29",2017,"6","Hutan.mangrove.sekunder",1045.21129532741
"30",2017,"7","Hutan.tanaman",443408.092775664
"31",2017,"8","Perkebunan",157310.765016167
"32",2017,"9","Semak.belukar",3279.42533035029
"33",2017,"10","Semak.belukar.rawa",0
"34",2017,"11","Savanna...Padang.rumput",0
"35",2017,"12","Pertanian.lahan.kering",920745.645734042
"36",2017,"13","Pertanian.lahan.kering..campur.semak...kebun.campur",773837.644200303
"37",2017,"14","Sawah",882983.543240104
"38",2017,"15","Tambak",64457.6407739541
"39",2017,"16","Pemukiman",282021.749150244
"40",2017,"17","Transmigrasi",0
"41",2017,"18","Lahan.terbuka",10815.9932028298
"42",2017,"19","Pertambangan",1717.78467239926
"43",2017,"20","Tubuh.air",28251.5557344183
"44",2017,"21","Rawa",19.643332808045
"45",2017,"22","Awan",0
"46",2017,"23","Bandara",320.031583628504
"47",2018,"1","Hutan.lahan.kering.primer",12712.9678921003
"48",2018,"2","Hutan.lahan.kering.sekunder...bekas.tebangan",152714.288213399
"49",2018,"3","Hutan.rawa.primer",0
"50",2018,"4","Hutan.rawa.sekunder",0
"51",2018,"5","Hutan.mangrove.primer",0
"52",2018,"6","Hutan.mangrove.sekunder",999.671253189478
"53",2018,"7","Hutan.tanaman",432312.925740037
"54",2018,"8","Perkebunan",150498.838009167
"55",2018,"9","Semak.belukar",3161.67767379088
"56",2018,"10","Semak.belukar.rawa",0
"57",2018,"11","Savanna...Padang.rumput",0
"58",2018,"12","Pertanian.lahan.kering",942141.375168209
"59",2018,"13","Pertanian.lahan.kering..campur.semak...kebun.campur",790743.51665871
"60",2018,"14","Sawah",888155.828599751
"61",2018,"15","Tambak",61039.4202170355
"62",2018,"16","Pemukiman",267547.679576167
"63",2018,"17","Transmigrasi",0
"64",2018,"18","Lahan.terbuka",10369.984281523
"65",2018,"19","Pertambangan",1792.66464508888
"66",2018,"20","Tubuh.air",26972.3011031688
"67",2018,"21","Rawa",18.8333192002061
"68",2018,"22","Awan",0
"69",2018,"23","Bandara",280.027649461803
"70",2019,"1","Hutan.lahan.kering.primer",12208.8240792141
"71",2019,"2","Hutan.lahan.kering.sekunder...bekas.tebangan",146720.198108623
"72",2019,"3","Hutan.rawa.primer",0
"73",2019,"4","Hutan.rawa.sekunder",0
"74",2019,"5","Hutan.mangrove.primer",0
"75",2019,"6","Hutan.mangrove.sekunder",952.141228370652
"76",2019,"7","Hutan.tanaman",420624.116987949
"77",2019,"8","Perkebunan",144039.290592277
"78",2019,"9","Semak.belukar",3030.92444626209
"79",2019,"10","Semak.belukar.rawa",0
