"","year","id.sector","sector","land.requirement"
"1",2016,"1","Tanaman Pangan",1694323.7766534
"2",2016,"2","Tanaman Hortikultura",545043.071999654
"3",2016,"3","Perkebunan",121698.547303327
"4",2016,"4","Peternakan",1512.76805550427
"5",2016,"5","Jasa Pertanian dan Perburuan ",144503.868379705
"6",2016,"6","Kehutanan dan Penebangan Kayu",268652.227171567
"7",2016,"7","Perikanan",44175.946872575
"8",2016,"8","Pertambangan Minyak Gas dan Panas Bumi",488.922000233713
"9",2016,"9","Pertambangan Bijih Logam",349.230000427647
"10",2016,"10","Pertambangan dan Penggalian Lainnya",543.882786926585
"11",2016,"11","Industri Batubara dan Pengilangan Migas",293.353200028438
"12",2016,"12","Industri Makanan dan Minuman",18412.548338215
"13",2016,"13","Pengolahan Tembakau",392.109480234478
"14",2016,"14","Industri Tekstil dan Pakaian Jadi",1175.38812893417
"15",2016,"15","Industri Kulit Barang dari Kulit dan Alas Kaki",1633.78950047193
"16",2016,"16","Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya",267.834344149417
"17",2016,"17","Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman",1286.44842608744
"18",2016,"18","Industri Kimia Farmasi dan Obat Tradisional",1485.26318115527
"19",2016,"19","Industri Karet Barang dari Karet dan Plastik",1339.17172123061
"20",2016,"20","Industri Barang Galian bukan Logam",14458.3141533127
"21",2016,"21","Industri Logam Dasar",1021.11843762537
"22",2016,"22","Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik",177.585815252628
"23",2016,"23","Industri Mesin dan Perlengkapan YTDL",1617.61336675138
"24",2016,"24","Industri Alat Angkutan",1512.76805617559
"25",2016,"25","Industri Furnitur",326.757899674377
"26",2016,"26","Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan",1471.88243309407
"27",2016,"27","Ketenagalistrikan",299.777890416289
"28",2016,"28","Pengadaan Gas dan Produksi Es",255.279608859393
"29",2016,"29","Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang",297.052635451463
"30",2016,"30","Konstruksi",243.849179184133
"31",2016,"31","Perdagangan Mobil Sepeda Motor dan Reparasinya",294.376486405384
"32",2016,"32","Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor",294.376486515243
"33",2016,"33","Angkutan Rel",274.58647048998
"34",2016,"34","Angkutan Darat",294.376486555826
"35",2016,"35","Angkutan Laut",320.350885275482
"36",2016,"36","Angkutan Sungai Danau dan Penyeberangan",320.350881549988
"37",2016,"37","Angkutan Udara",638.048250366849
"38",2016,"38","Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir",270.047851935282
"39",2016,"39","Penyediaan Akomodasi",294.376486675883
"40",2016,"40","Penyediaan Makan Minum",276.913474529164
"41",2016,"41","Informasi dan Komunikasi",225.350275512882
"42",2016,"42","Jasa Perantara Keuangan",263.514435589081
"43",2016,"43","Asuransi dan Dana Pensiun",263.514435254128
"44",2016,"44","Jasa Keuangan Lainnya",263.514435741141
"45",2016,"45","Jasa Penunjang Keuangan",263.514435818001
"46",2016,"46","Real Estate",276.913474271688
"47",2016,"47","Jasa Perusahaan",270.047851277157
"48",2016,"48","Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib",9645.03029571562
"49",2016,"49","Jasa Pendidikan",261.406320019866
"50",2016,"50","Jasa Kesehatan dan Kegiatan Sosial",235.077625721167
"51",2016,"51","Jasa lainnya",308.262169661142
"52",2016,"52","Lainnya",176293.748161544
"53",2016,"53","lainnya (tidak menghasilkan output)",680354.155303952
"54",2017,"1","Tanaman Pangan",1710615.35225001
"55",2017,"2","Tanaman Hortikultura",572295.225599636
"56",2017,"3","Perkebunan",115120.247461756
"57",2017,"4","Peternakan",1470.74672074681
"58",2017,"5","Jasa Pertanian dan Perburuan ",140489.872047064
"59",2017,"6","Kehutanan dan Penebangan Kayu",266117.772081159
"60",2017,"7","Perikanan",41414.9501996655
"61",2017,"8","Pertambangan Minyak Gas dan Panas Bumi",513.368100245399
"62",2017,"9","Pertambangan Bijih Logam",366.691500449029
"63",2017,"10","Pertambangan dan Penggalian Lainnya",468.09584112305
"64",2017,"11","Industri Batubara dan Pengilangan Migas",369.625032035832
"65",2017,"12","Industri Makanan dan Minuman",15343.7902885971
"66",2017,"13","Pengolahan Tembakau",494.057945095442
"67",2017,"14","Industri Tekstil dan Pakaian Jadi",887.883118446316
"68",2017,"15","Industri Kulit Barang dari Kulit dan Alas Kaki",1715.47897549553
"69",2017,"16","Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya",230.513165005137
"70",2017,"17","Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman",1063.5990927004
"71",2017,"18","Industri Kimia Farmasi dan Obat Tradisional",1417.75121823371
"72",2017,"19","Industri Karet Barang dari Karet dan Plastik",1152.56582544184
"73",2017,"20","Industri Barang Galian bukan Logam",13434.7166879069
"74",2017,"21","Industri Logam Dasar",670.108974691648
"75",2017,"22","Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik",101.339731554354
"76",2017,"23","Industri Mesin dan Perlengkapan YTDL",1681.67726263247
"77",2017,"24","Industri Alat Angkutan",1470.74672139948
