Lapangan Usaha,Uraian,Padat_Ditimbun_di_TPA,Padat_Ditimbun_Lubang,Padat_Kompos,Padat_3R,Padat_ins_sampah_domestik,Padat_ins_sampah_industri,Padat_dibakar_terbuka,Padat_tidak_terkelola,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL_Aerob,Cair_IPAL_Anaerob,Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_3R,Total
1,Tanaman Pangan,0.00,0.00,6729199.47,176284.24,0.00,0.00,6729199.47,8315468.94,4863.82,0.00,0.00,63.43,1680.30,0.00,0.00,0.00,21956759.68
2,Tanaman Hortikultura,0.00,0.00,0.00,21297879.32,0.00,0.00,0.00,49695051.74,3447.60,0.00,0.00,44.96,1191.04,0.00,0.00,0.00,70997614.66
3,Perkebunan,0.00,0.00,0.00,52201.02,0.00,0.00,0.00,106124.04,3657.65,0.00,0.00,67288.08,104397.23,0.00,0.00,0.00,333668.02
4,Peternakan,0.00,0.00,0.00,27175.66,0.00,0.00,0.00,53094.54,15898.52,0.00,0.00,207.34,110788.90,0.00,0.00,0.00,207164.96
5,Jasa Pertanian dan Perburuan ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,Kehutanan dan Penebangan Kayu,0.00,0.00,0.00,4210.82,0.00,0.00,0.00,10563.99,59.98,0.00,0.00,0.78,20.72,0.00,0.00,0.00,14856.29
7,Perikanan,0.00,0.00,0.00,23446.92,0.00,0.00,0.00,23446.92,4680.45,0.00,0.00,61.04,1616.95,0.00,0.00,0.00,53252.27
8,Pertambangan Minyak Gas dan Panas Bumi,8.84,4.11,0.84,0.00,0.00,0.00,18.34,7.12,6934.68,0.00,0.00,90.44,2395.72,0.00,0.00,0.00,9460.09
9,Pertambangan Bijih Logam,0.35,0.16,0.03,0.00,0.00,0.00,0.73,0.28,275.68,0.00,0.00,3.60,95.24,0.00,0.00,0.00,376.08
10,Pertambangan dan Penggalian Lainnya,0.00,113690542.90,0.00,0.00,0.00,0.00,0.00,0.00,2009.02,0.00,0.00,26.20,694.06,0.00,0.00,0.00,113693272.18
11,Industri Batubara dan Pengilangan Migas,159.07,74.03,15.19,0.00,0.00,0.00,330.01,128.06,124786.88,0.00,0.00,1627.43,43110.04,0.00,0.00,0.00,170230.71
12,Industri Makanan dan Minuman,67.70,31.50,6.46,0.00,0.00,0.00,140.45,54.50,53108.03,0.00,0.00,692.62,18347.20,0.00,0.00,0.00,72448.46
